token,has.vowels,length,has.special,just.letters,all.upper,roman,english.word,long.char.seq,starts.with.two,pos,prev.pos,prev.pos2,next.pos,next.pos2,prev.dep,prev.dep2,next.dep,next.dep2,label
ABB,True,3,False,True,True,False,False,False,False,PROPN,,,PROPN,NOUN,,,compound,compound,1
ABB,True,3,False,True,True,False,False,False,False,PROPN,,,PROPN,NOUN,,,compound,root,1
ABB,True,3,False,True,True,False,False,False,False,PROPN,,,PROPN,PROPN,,,compound,compound,1
ABC,True,3,False,True,True,False,False,False,False,PROPN,,,PROPN,,,,root,,1
ABC,True,3,False,True,True,False,False,False,False,PROPN,,,PROPN,PUNCT,,,flat,punct,1
ABC,True,3,False,True,True,False,False,False,False,PROPN,PUNCT,PROPN,PUNCT,,punct,flat,punct,,1
able,True,4,False,True,False,False,True,False,False,ADJ,AUX,NOUN,PART,VERB,cop,nsubj,mark,xcomp,0
able,True,4,False,True,False,False,True,False,False,ADJ,NOUN,PUNCT,PART,VERB,advmod,punct,mark,xcomp,0
Able,True,4,False,True,False,False,True,False,False,ADJ,PART,AUX,PART,VERB,advmod,cop,mark,xcomp,0
Able,True,4,False,True,False,False,True,False,False,ADJ,,,PART,VERB,,,mark,xcomp,0
able,True,4,False,True,False,False,True,False,False,ADJ,PART,AUX,PART,VERB,advmod,cop,mark,xcomp,0
ABN,True,3,False,True,True,False,False,False,False,NOUN,PUNCT,NOUN,PUNCT,,punct,root,punct,,1
ABN,True,3,False,True,True,False,False,False,False,NOUN,DET,VERB,,,det,root,,,1
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,DET,NOUN,,nsubj,det,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,CCONJ,NOUN,,conj,cc,obl,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,DET,DET,NOUN,obj,det,det,nmod,0
about,True,5,False,True,False,False,True,False,False,SCONJ,NOUN,VERB,VERB,DET,obj,root,advcl,det,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,NOUN,,obj,root,nmod,,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,,NOUN,NOUN,root,,compound,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,DET,NOUN,obj,root,det,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,DET,NOUN,obj,root,det,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,ADJ,NOUN,obj,root,amod,compound,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,ADJ,NOUN,obj,root,amod,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,CCONJ,NOUN,,conj,cc,obl,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,NOUN,ADP,obj,acl,obl,case,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,NOUN,NOUN,,root,nsubj,obl,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,NOUN,,obj,root,obl,,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,,NOUN,ADP,root,,obl,case,0
about,True,5,False,True,False,False,True,False,False,ADP,AUX,NOUN,NOUN,NOUN,cop,nsubj,compound,root,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,ADJ,NOUN,obj,root,amod,obl,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,ADP,DET,NOUN,obj,compound:prt,det,nmod,0
about,True,5,False,True,False,False,True,False,False,ADP,VERB,,NOUN,,root,,obl,,0
about,True,5,False,True,False,False,True,False,False,ADP,NOUN,VERB,VERB,NOUN,obj,root,amod,nmod,0
