Subject;Activity;Verb phrases;Noun phrases
User;Open Enclosure;opens;Enclosure
Liquid Cooling Module;Monitor LCM Status;monitors;Status
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature
User;Get M10 Tilt Angles;gets;M10 Tilt Angles
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles
FAS TCCD;Send FAS Setup;sends;Setup
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment
TRS;Monitor Temperature data;monitors;Temperature data
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object
User;Stop Pupil Alignment;stops;Pupil Alignment
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles
M6 Mirror;Calibrate Az axis;calibrates;axis
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit
FSS STRAP;Do one star analysis;does;star analysis
TRS;Monitor LCM Status;monitors;Status
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature
User;Get Tracking Remaining Time;gets;Tracking Remaining Time
User;Stop Chopping;stops;Chopping
Power Module;Monitor Power Status;monitors;Power Status
User;Stop Image Alignment;stops;Image Alignment
User;Do one star analysis;does;star analysis
User;Stop FAS Acquisition;stops;FAS Acquisition
User;Check STRAP Pupil Alignment;checks;STRAP Pupil Alignment
User;Set M2 Pupil Beacon Light Level;sets;M2 Pupil Beacon Light Level
Air Conditioning;Set Reference Temperature;sets;Reference Temperature
User;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors
TRS;Monitor HPS Status;monitors;HPS Status
User;Get M2 Focus Position;gets;M2 Focus Position
User;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level
User;Stop Telescope Motion;stops;Telescope Motion
User;Start cyclic calibrated corrections;starts;corrections
DewPoint Sensor;Set Dew Point Margin;sets;Dew Point Margin
TRS;Monitor Cooling Flow;monitors;Cooling Flow
Probe;Preset FSS Translation Stage;presets;FSS Translation Stage
User;Display Guide Detector Signals;displays;Guide Detector Signals
User;Get M2 Tilt Angles;gets;M2 Tilt Angles
ASM;Close Enclosure On Bad Meteo Conditions;closes;Enclosure On Bad Meteo Conditions
Air Conditioning;Check Status Air Conditioning;checks;Status Air Conditioning
TRS;Monitor Power Status;monitors;Power Status
User;Get Guide Star Data;gets;Guide Star Data
Nasmyth Wheel;Set Nasmyth Wheel;sets;Nasmyth Wheel
M2 Mirror;Get M2 Center Position;gets;M2 Center Position
User;Set Guide Parameters;sets;Guide Parameters
User;Prepare for Delay Constant Alignment;prepares for;Delay Constant Alignment
TRS;Monitor Telescope Temperature;monitors;Telescope Temperature
User;Set Guide Window Size;sets;Guide Window Size
User;Center M10;centers;M10
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;Beam Switching Device
Telescope Temperature Sensors;Monitor Temperature data;monitors;Temperature data
User;Stop Air Conditioning;stops;Air Conditioning
User;Get M6 Tilt Angles;gets;Tilt Angles
User;Start Chopping;starts;Chopping
User;Check Status Enclosure;checks;Status Enclosure
FSS STRAP;Optimize Field Stabilisation;optimizes;Field Stabilisation
Azimuth Drive;Calibrate Az axis;calibrates;axis
DewPoint Sensor;Monitor Environmental data;monitors;Environmental data
Air Conditioning;Monitor Telescope Temperature;monitors;Telescope Temperature
