;Lane;Task;Verb;NounPhrases;Label;
6;Charles (admi);adds incoming mail date, records letter, archives it;adds;incoming mail date|records letter|archives;Conjunctive clause;
7;Charles (admi);tel call to sender to complete;;tel call|sender;;
8;Charles (admi);empties & checks the mails in the mailbox;empties|checks;mails in the mailbox;Conjunctive clause;
9;Charles (admi);adds new member to the member register;adds;new member to the member register;;
10;Charles (admi);sends a letter to person and explaines why not;sends;Charles|letter to person;Conjunctive clause;
11;Charles (admi);adds in the member register;adds in;member register;;
12;Charles (admi);prepare invoices&send a letter to customer;"prepare;send";"Invoices;a letter to customer";Conjunctive clause;
13;Charles (admi);prints a membership card&send to new customer;"prints;send to";"membership card;new customer";Conjunctive clause;
14;Miranda;will decide if member or not;decide;member;Condition;
15;Miranda;stamps 'new member'&writes the date;"stamps;writes";"new member;date";Conjunctive clause;
16;Miranda;calculates fees for the new members;calculates;fees for the new members;;
17;customer;payments will transfer;will transfer;payments;Starts with subject;
18;customer;Receive membership card;Receive;membership card;;
19;Customer;Inquire about availability of products;Inquire about;availability of products;;
20;Customer;Submit purchase order;Submit;purchase order;;
21;Customer;Send payment;Send;payment;;
22;Accounting;Prepare invoice;Prepare;invoice;;
23;Accounting;Process payment;Process;payment;;
24;Accounting;Send reminder to customer;Send;reminder to customer;;
25;Sales;Create and submit the quotation;Create|submit;quotation;Conjunctive clause;
26;Sales;Create sales order;Create;sales order;;
27;Warehouse;Backorder missing items;Backorder;missing items;;
28;Warehouse;Update sales order;Update;sales order;;
29;Supplier;Assemble shipment and packing list;Assemble;shipment|packing list;Conjunctive clause;
30;Accounting;Enter PO Information;Enter;PO Information;;
31;Accounting;Enter goods receipt information;Enter;goods receipt information;;
32;Accounting;Verify invoice accuracy;Verify;invoice accuracy;;
33;Purchasing;Select a suitable vendor and send purchase order;Select;suitable vendor|purchase order;Conjunctive clause;
34;Warehouse;Request for more stock;Request for;more stock;;
35;Customer;Send inquiry;Send;inquiry;;
36;Customer;Fill out application form;Fill out;application form;;
37;Customer;Process documents;Process;documents;;
38;Supervisor;Expedite the assessment process;Expedite;assessment process;;
39;CSR;Send mortgage application form;Send;mortgage application form;;
40;CSR;Review application form;Review;application form;;
41;CSR;Send a reminder to customer;Send;reminder to customer;;
42;CSR;Inform customer and close transaction;"Inform;close";"Customer;transaction";Conjunctive clause;
43;Mortgage Specialist;Inform customer of rejection;Inform;customer of rejection;;
44;Mortgage Specialist;Archive details;Archive;details;;
45;Customer;Submit insurance claim;Submit;insurance claim;;
46;Customer;Supply more information;Supply;more information;;
47;Supervisor;Review the claim;Review;claim;;
