Task;Verb;NounPhrases
adds incoming mail date, records letter, archives it;adds;incoming mail date|records letter|archives
empties & checks the mails in the mailbox;empties|checks;mails in the mailbox
sends a letter to person and explaines why not;sends;Charles|letter to person
prepare invoices&send a letter to customer;"prepare;send";"Invoices;a letter to customer"
prints a membership card&send to new customer;"prints;sends to";"membership card;new customer"
stamps 'new member'&writes the date;"stamps;writes";"new member;date"
Create and submit the quotation;Create|submit;quotation
Assemble shipment and packing list;Assemble;shipment|packing list
Select a suitable vendor and send purchase order;"Select;send";"suitable vendor;purchase order"
Inform customer and close transaction;"Inform;close";"Customer;transaction"
Decide to accept or reject claim;Rejects;claim
Decide to accept or reject claim;Rejects;claim
Bring computer to ACM and describe problem;"Bring;describe";"computer to ACM;problem"
Complete the repair and test computer;"Complete;test";"Repair;computer"
Create estimate of repair time and cost;Create;estimate of repair time|cost
Complete repair and test computer;"Complete;test";"Repair;computer"
check the process and assign points;"check;assign";"Process;points"
check the progress and consult problems;"check;consult";"Progress;problems"
extend the process to L2,3;extend;process
contact insurer and consult the case;"contact;consult";"Insurer;case"
Review Pricing Options and Generate Sales Quote;"Review;Generate";"Pricing Options;Sales Quote"
Produce Cost;Produce;Cost
note incident number and code;note;Incident number|code
Review pricing options and generate sales quote;"Review;Generate";"Pricing Options;Sales Quote"
Produce Cost Estimates;Produce;Cost Estimates
Production Order confirmation & Production of motorcycle;;Production Order confirmation|Production of motorcycle
Produced labor and materal costs;Produced;labor|materal costs
accepting the candidate and sending the letter to Charles;"accepting;sending";"candidate;letter to Charles"
Empties Mailbox and check for missing information;"Empties;check";"mailbox;missing information"
recording and archiving;;recording|archiving
check diaries and for conflicts;check;diaries|conflicts
check dates and suggest modifications;"check;suggest";"dates;modifications"
pay bill and tip;pay;bill|tip
Schedule exams and interview;Schedule;exams|interview
Enter client/vendor information on the invoice entry form;Enter;client|vendor information on the invoice entry form
Purchase missing parts and put on stock;"Purchase;put on";"missing parts;stock"
Pack and label product;Pack|label;product
Consult project, check progress;Consult;project|progress
Analyse field and identify process;"Analyse;identify";"field;process"
Extend their process to L 2,3;Extend;process to L 2,3
Check design and provide feedback;"Check;provide";"design;feedback"
Create and provide information about the company;Create|provide;information about the company
Inquire about PRWeb press release services and prices for company's specific requirements;Inquire about;PRWeb press release services|prices for company's specific requirements
Integrate Design and decide where such data should be placed;"Integrate;decide";"Design;where such data should be placed"
collect data and conduct business analysis covering all aspects about company's products;"collect;conduct";"data;business analysis covering all aspects about company's products"
create graphics and develop design for the leaflet;"create;develop";"graphics;design for the leaflet"
create graphics and develop design for the whitepaper;"create;develop";"graphics;design for the whitepaper"
Find or create Music;Find|create;Music
Import Audio: Narration, Music and Sound Effects;Import;Audio|Narration|Music|Sound Effects
Create Titles, Subtitles, Credits;Create;Titles|Subtitles|Credits
Determine the Form or Style;Determine;Form|Style
calculate and send price offer;calculate|send;price offer
check and repair the hardware;check|repair;hardware
checks and configures the software;checks|configures;software
stop negotiation and don't order;stop;negotiation
Extend their process to Level 2,3;Extend;process to Level 2
Analyse field and identify processes;"Analyse;identify";"field;processes"
Analyze responses and start negotiation;"Analyze;start";"responses;negotiation"
Analyze reasons and learn a lesson;"Analyze;learn";"reasons;lesson"
Edit and complete request;Edit|complete;request
fullfil form and send request to management;"fulfill;send";"form;request to management"
receive hw and invoice;receive;hw|invoice
sent to client, accouts receivable department and registry;sent to;client|accouts receivable department|registry
check the completeness and tick relevant box;"check;tick";"completeness;relevant box"
extend process to level 2,3;extend;process to level 2,3
Prepare, read the materials;Prepare|read;materials
Verify and sign by CFO;Verify|sign by;CFO
Generate ratio & KPI;Generate;ratio|KPI
Verify ratio & KPIs;Verify;ratio|KPIs
Extend process to level 2,3;Extend;process to level 2,3
Kick off with Customer, PM and BDM;Kick off;Customer|PM|BDM
Check quantity and quality;Check;quantity|quality
Rename and Upload new file to indicate a release;Rename|Upload;new file to indicate a release
write and send letters for fee;write|send;letters for fee
create and send cards;create|send;cards
stamp and write date;stamp|write;date
Receive and inspect materials;Receive|inspect;materials
Fill out Claim Form & Send to CSR;"Fill out;Send to";"Claim Form;CSR"
order to fetch wine and prepare any other alcoholic beverages;"order to fetch;prepare";"wine;other alcoholic beverages"
Welcome the customer and ask for his wants;"Welcome;ask for";"customer;wants"
Welcome the customer and ask what type of account he wants;"Welcome;ask";"customer;type of account"
Take a seat and ask for the menu;"Take;ask for";"seat;menu"
Define price list and conditions;Define;price list|conditions
Compare the report and the invoices details;Compare;report|invoices details
Accept term and Condition;Accept;term|Condition
Enter user email, age and question;Enter;user email|age|question
Verify user email, age and question;Verify;user email|age|question
Download and install;"Download;install";
Batched and allocate invoice to DEO;Batched|allocate;invoice to DEO
Enters date for completion and Check the priority;"Enters;check";"date for completion;priority"
Accept term and Condition;Accept;term|Condition
Enter user email and unique question;Enter;user email|unique question
Verify user email, and unique question;Verify;user email|unique question
Check Software Warranty, Support, and Update.;Check;Software Warranty|Support|Update
Evaluate the liabilities and risks;Evaluate;liabilities|risks
Fill and Attach all the required Documents;Fill|attach;required Documents
Evaluate your personal and management relationship with the bank;Evaluate;personal|management relationship with the bank
Evaluate the interest and fees of the loan;Evaluate;interest|fees of the loan
Review Suppliers and Send RFQ;"Review;Send";"Suppliers;RFQ"
