"Model";"Lane";"Task";"Verb Phrases";"Noun Phrases"
"1593465486_rev18.json";"Charles (admin)";"tel call to sender to complete";;"tel call|sender"
"1593465486_rev18.json";"Charles (admin)";"adds new member to the member register";"adds";"new member to the member register"
"1593465486_rev18.json";"Charles (admin)";"adds in the member register";"adds in";"member register"
"1593465486_rev18.json";"Charles (admin)";"prepare invoices&send a letter to customer";"prepare;send";"Invoices;a letter to customer"
"1593465486_rev18.json";"Charles (admin)";"prints a membership card&send to new customer";"prints;send to";"membership card;new customer"
"1593465486_rev18.json";"Miranda";"will decide if member or not";"decide";"member"
"1593465486_rev18.json";"Miranda";"stamps 'new member'&writes the date";"stamps;writes";"new member;date"
"1593465486_rev18.json";"customer";"payments will transfer";"will transfer";"payments"
"1593465486_rev18.json";"customer";"Receive membership card";"Receive";"membership card"
"840044706_rev16.json";"Customer";"Inquire about availability of products";"Inquire about";"availability of products"
"840044706_rev16.json";"Customer";"Submit purchase order";"Submit";"purchase order"
"840044706_rev16.json";"Customer";"Send payment";"Send";"payment"
"840044706_rev16.json";"Accounting";"Prepare invoice";"Prepare";"invoice"
"840044706_rev16.json";"Accounting";"Process payment";"Process";"payment"
"840044706_rev16.json";"Accounting";"Send reminder to customer";"Send";"reminder to customer"
"840044706_rev16.json";"Sales";"Create and submit the quotation";"Create|submit";"quotation"
"840044706_rev16.json";"Sales";"Create sales order";"Create";"sales order"
"840044706_rev16.json";"Warehouse";"Backorder missing items";"Backorder";"missing items"
"840044706_rev16.json";"Warehouse";"Update sales order";"Update";"sales order"
"2044556727_rev13.json";"Customer";"Send inquiry";"Send";"inquiry"
"2044556727_rev13.json";"Customer";"Fill out application form";"Fill out";"application form"
"2044556727_rev13.json";"Customer";"Process documents";"Process";"documents"
"2044556727_rev13.json";"Supervisor";"Expedite the assessment process";"Expedite";"assessment process"
"2044556727_rev13.json";"CSR";"Send mortgage application form";"Send";"mortgage application form"
"2044556727_rev13.json";"CSR";"Review application form";"Review";"application form"
"2044556727_rev13.json";"CSR";"Send a reminder to customer";"Send";"reminder to customer"
"2044556727_rev13.json";"CSR";"Inform customer and close transaction";"Inform;close";"Customer;transaction"
"2044556727_rev13.json";"Mortgage Specialist";"Archive details";"Archive";"details"
"795221732_rev6.json";"Customer";"Bring computer to ACM and describe problem";"Bring;describe";"computer to ACM;problem"
"795221732_rev6.json";"Customer";"Authorize the repair";"Authorize";"repair"
"795221732_rev6.json";"Customer";"Take computer back";"Take";"computer"
"795221732_rev6.json";"Technician";"Diagnose the problem";"Diagnose";"problem"
"795221732_rev6.json";"Technician";"Complete the repair and test computer";"Complete;test";"Repair;computer"
"795221732_rev6.json";"Technician";"File a report about the repair";"File";"report about the repair"
"795221732_rev6.json";"Store Owner";"Create estimate of repair time and cost";"Create";"estimate of repair time|cost"
"795221732_rev6.json";"Store Owner";"Assign a technician to repair the problem";"Assign";"technician|problem"
"795221732_rev6.json";"Store Owner";"Complete repair and test computer";"Complete;test";"Repair;computer"
"795221732_rev6.json";"Store Owner";"File a report about the repair";"File";"report about the repair"
"21592027_rev3.json";"sales";"verify RFQ";"verify";"RFQ"
"21592027_rev3.json";"sales";"Send to Customer";"Send to";"Customer"
"21592027_rev3.json";"sales";"Generate sales Quotes";"Generate";"sales Quotes"
"21592027_rev3.json";"Finance";"Produced labor and materal costs";"Produced";"labor|materal costs"
"21592027_rev3.json";"Engineering";"Add overhead cost";"Add";"overhead cost"
"21592027_rev3.json";"Customer";"Generate RFQ";"Generate";"RFQ"
"21592027_rev3.json";"Customer";"Analyze Sales Quote";"Analyze";"Sales Quote"
"2015031809_rev18.json";"Volley Club";"emptying the mailbox";"emptying";"mailbox"
"2015031809_rev18.json";"Volley Club";"Phonecall to complete data";;"Phonecall to complete data"
"2015031809_rev18.json";"Volley Club";"Recording an archieving";"Recording";"archieving"
"2015031809_rev18.json";"Volley Club";"add to the register";"add to";"register"
"2015031809_rev18.json";"Volley Club";"write down member fee into register";"write down";"member fee into register"
"2015031809_rev18.json";"Volley Club";"letter with explanation of rejecting";;"letter with explanation of rejecting"
"2015031809_rev18.json";"Volley Club";"print membership cards";"print";"membership cards"
"2015031809_rev18.json";"Volley Club";"send membership cards";"send";"membership cards"
"2015031809_rev18.json";"Miranda";"new member for the club?";;"new member for the club"
"2015031809_rev18.json";"Miranda";"stamp the letter";"stamp";"letter"
"2015031809_rev18.json";"Miranda";"calculate member fee";;"calculate member fee"
"2015031809_rev18.json";"candidate";"sending letter";"sending";"letter"
"2015031809_rev18.json";"candidate";"Phonecall with Charles";;"Phonecall with Charles"
"2015031809_rev18.json";"candidate";"has to pay membership";"has to pay";"membership"
"2015031809_rev18.json";"candidate";"pays the fee";"pays";"fee"
"2015031809_rev18.json";"candidate";"does not pay the fee";"pay";"fee"
"1761165958_rev10.json";"Web Designer";"First informational meeting";;"First informational meeting"
"1761165958_rev10.json";"Web Designer";"Design site";"Design";"site"
"1761165958_rev10.json";"Web Designer";"Develop site";"Develop";"site"
"1761165958_rev10.json";"Web Designer";"Prepare content";"Prepare";"content"
"1761165958_rev10.json";"Web Designer";"Marketing review";;"Marketing review"
"1761165958_rev10.json";"Web Designer";"Final version of content";;"Final version of content"
"1761165958_rev10.json";"Web Designer";"Building the site";"Building";"site"
"1761165958_rev10.json";"Web Designer";"Review activity";"Review";"activity"
"1761165958_rev10.json";"Web Designer";"Approval of the site";;"Approval of the site"
"1761165958_rev10.json";"Web Designer";"Storyboard";;"Storyboard"
"1043716184_rev9.json";"Miranda";"emptying the letterbook";"emptying";"letterbook"
"1043716184_rev9.json";"Miranda";"rejecting the candidate";"rejecting";"candidate"
"1043716184_rev9.json";"Miranda";"accepting the candidate and sending the letter to Charles";"accepting;sending";"candidate;letter to Charles"
"1043716184_rev9.json";"Charles";"Empties Mailbox and check for missing information";"Empty;check";"mailbox;missing information"
"1043716184_rev9.json";"Charles";"Phonecall to complete data";;"Phonecall to complete data"
"1043716184_rev9.json";"Charles";"recording and archiving";;"recording|archiving"
"1043716184_rev9.json";"Charles";"sending of rejection letter";"sending of";"rejection letter"
"1043716184_rev9.json";"Charles";"add member to register";"add";"member to register"
"1043716184_rev9.json";"Charles";"sending the data to Miranda";"sending";"data to Miranda"
"1043716184_rev9.json";"Charles";"writing the fees into the register";"writing";"fees into the register"
"1043716184_rev9.json";"Charles";"preparing invoice for new candidates";"preparing";"invoice for new candidates"
"1043716184_rev9.json";"Charles";"waiting for payment of the fees";"waiting for";"payment of the fees"
"1043716184_rev9.json";"Charles";"prints the membership card";"prints";"membership card"
