1;Technician;Work Offline
1;Technician;Update Case Status
1;Front Desk;Review & Escalate
1;Technician;Acknowledge
1;Support Manager;Review & Escalate
1;Support Department;Acknowledge
1;Support Manager;Update Client on Delay &Escl.
1;Support Department;Receive Notification
1;Support Manager;Receive Notification
1;Technician;Connect Remotely to Client
1;Support Department;Review & Escalate
1;Technician;Receive Notification
1;Support Department;Work Offline
1;Support Department;Connect Remotely to Client
1;Support Department;Update Case Status
1;Support Department;Update Client on Delay &Escl.
12e;Key account manager;Send mail to support system
12e;Key account manager;Get problem description
12e;Key account manager;Explain solution
8;Administrative Department;Check Solvency
8;Sales Department;Initiate File
8;Customer;Select Travel
8;Customer;Provide Customer Data
8;Organization;Check Solvency
8;Organization;Check Availability
8;Customer;Confirm Interest
8;Organization;Initiate File
8;Sales Department;Book Travel
8;Organization;Book Travel
8;Sales Department;Indicate Price
8;Organization;Indicate Price
8;Administrative Department;Bill
8;Sales Department;Check Availability
8;Organization;Bill

11a;Bank;Review request
11a;Bank;Prepare contract
11a;Bank;Send quote
11a;Sales rep;Calculate terms
11a;Sales rep;Review request
11a;Bank;Assess risks
11a;Bank;Prepare special terms
11a;Sales manager;Prepare special terms
11a;Risk Analyst;Assess risks
11a;Sales rep;Prepare contract
11a;Bank;Calculate terms
11a;Sales rep;Send quote
6e;Business participant;Check Calendar for Conference Call
6e;Business participant;E-Mail Vote Deadline Warning
6e;Business participant;Receive Vote
6e;Business participant;Moderate Conference Call Discussion
6e;Business participant;Moderate E-mail Discussion
6e;Business participant;Incremet Tally
3b;Business participant;Prepare Invoice
3b;Business participant;Send Invoice to Customer
3b;Business participant;Register Order in Manufacturing System
3b;Business participant;Update Invoice
3b;Business participant;Process Payment
10b;Vacation Request Approval Process;Mark vacation in Calendar
10b;Vacation Request Approval Process;Book Vacation
10b;Vacation Request Approval Process;Update Vacation Request
10b;Employee;Update Vacation Request
10b;Employee;Mark vacation in Calendar
10b;Manager;Book Vacation
10b;Manager;Approve Vacation Request
10b;Vacation Request Approval Process;Approve Vacation Request
2c;Marketing Manager;Make Internal Seminar Anoucement
2c;No Magic;Send Invitations to Customers
2c;No Magic;Make Internal Seminar Anoucement
2c;Marketing Manager;Publish Seminar Description in Website
2c;No Magic;Prepare Seminar Description
2c;No Magic;Publish Seminar Description in Website
2c;Seminar Coordinator;Send Invitations to Customers
2c;Seminar Coordinator;Prepare Seminar Description

2d;Business participant;Inform Customer about Overdue Payment
2d;Business participant;Send Registered Warning Letter
2d;Business participant;Start Investigation
6f;Business participant;Review Issue List
6f;Business participant;Send Results Via E-Mail
6f;Business participant;Email Voters that have to Change Votes
6f;Business participant;Announce Issues
6f;Business participant;Reduce Number of Voting Members and Recalculate Votes
6f;Business participant;Receive Issue List
6f;Business participant;Re-Announce Vote with Warning to Voting members
6f;Business participant;Post Results on Web Site
6f;Business participant;Prepare Results
6f;Business participant;Reduce to Two Solutions
2a;Seminar Coordinator;Close Seminar
2a;No Magic;Publish Seminar Description in Website
2a;Seminar Speaker;Prepare Talk Presentation
2a;Seminar Coordinator;Open Seminar
2a;No Magic;Close Seminar
2a;No Magic;Send Invitations to Customers
2a;No Magic;Register Participant
2a;Marketing Manager;Prepare Seminar Description
2a;No Magic;Give talk
2a;Marketing Manager;Welcome Participants
2a;No Magic;Prepare Seminar Description
2a;No Magic;Evaluate Participants Number
2a;Seminar Coordinator;Publish Seminar Description in Website
2a;No Magic;Open Seminar
2a;No Magic;Arrange Facilities and Meals
2a;Marketing Manager;Send Invitations to Customers
2a;Marketing Manager;Collect Questionnaries
2a;Marketing Manager;Prepare Handouts
2a;Seminar Speaker;Give talk
2a;No Magic;Prepare Handouts
2a;Seminar Coordinator;Make Internal Seminar Anoucement
2a;No Magic;Send Reminder to Participants
2a;No Magic;Welcome Participants
2a;No Magic;Prepare Talk Presentation
2a;Marketing Manager;Arrange Facilities and Meals
2a;No Magic;Make Internal Seminar Anoucement
2a;Marketing Manager;Send Reminder to Participants
2a;No Magic;Collect Questionnaries
2a;Marketing Manager;Register Participant
2a;Marketing Manager;Evaluate Participants Number
6d;Business participant;Receive Book Request
6d;Business participant;On Loan Reply
