Entry;Entities;EntityType
Storyboard;;
Building;;
review;;
end;;
Charles;Charles;PERSON
Miranda;Miranda;PERSON
Customer;;
Accounting;;
Sales;;
Warehouse;;
Supplier;;
Purchasing;;
Supervisor;;
CSR;CSR;ORGANIZATION
Mortgage Specialist;;
Claim Adjuster;;
Customer Service;Customer Service;ORGANIZATION
Technician;;
Store Owner;;
lecturer;;
team;;
student;;
Checked department;;
Auditor;;
examiner;;
Insurance company;;
insurer;;
Finance;;
Engineering;;
Reporter;;
Analyst;;
reporter;;
agent;;
analyst;;
sales;;
Volley Club;Volley Club;ORGANIZATION
candidate;;
Web Designer;;
Charles;Charles;PERSON
Backup;;
Customer Service Representative;;
commitee members;;
support officer;;
coordination unit;;
Sales and Marketing;;
Production;;
Logistics and Distribution;;
Legal department;;
Validation Department;Validation Department;ORGANIZATION
The Registry;The Registry;ORGANIZATION
Payment Department;Payment Department;ORGANIZATION
Account Receivable Department;Account Receivable Department;ORGANIZATION
SSP Clients;SSP Clients;ORGANIZATION
Admin Department;Admin Department;ORGANIZATION
Mail Centre;Mail Centre;ORGANIZATION
Vendor Master Record Data Entry Department;;
Data Entry Department;;
Vendor;;
Logistics;;
Italian Restaurant;Italian;MISC
Part Provision Team;;
Army;;
Sales & Distribution;;
Cashier;;
Small claims tribunal;;
Party;;
Assessment Manager;;
Cadastre;;
DMR;;
Seller;;
Auctioning Service;;
Travel Agency;Travel Agency;ORGANIZATION
Airline;;
Client;;
Risk Assessor;;
Loan Officer;;
Financial Officer;;
Insurance Sales Rep.;;
Listings;;
Judicary;Judicary;MISC
Loan Provider;;
Insurance client;;
Mortgage department;;
Insurance department;;
Financial department;;
Broker;;
Office;;
Carrier;;
SSP (Mail Center);Mail Center|SSP;ORGANIZATION|ORGANIZATION
Admin Office;Admin Office;ORGANIZATION
Mail Center;Mail Center;ORGANIZATION
Data Entry Office;;
Master Data Enter Department;Data Enter Department;ORGANIZATION
Validation Office;Validation Office;ORGANIZATION
Registry;;
Credit Company;Credit Company;ORGANIZATION
Order to Cash;;
Make to Inventory;;
Teacher;;
Team;;
Student;;
Bank Agent;Bank Agent;ORGANIZATION
Bank System;Bank System;ORGANIZATION
Business Analyst;;
PHP/HTML/CSS Specialist;;
Tester;Tester;PERSON
Marketing Manager;;
IT Staff Member;;
Company's Spokesperson;;
PRWeb Representative;;
PRWeb Services Headquarters;PRWeb Services Headquarters;ORGANIZATION
Graphic Designer;;
Printing house;;
Company Representative;;
Camera man;;
Graphic designer;;
Sound editor;;
Executive producer/Director;;
Advertisments Advisor;;
Pit's Store;Pit 's Store;ORGANIZATION
Fami;Fami;PERSON
Marketing;;
Management;;
IT Department;IT Department;ORGANIZATION
Operator;;
HR;;
Support line - part time workers;;
Data entry officer;;
Master data entry department;;
Mail center;;
Accounts Receivable Department;Receivable Department;ORGANIZATION
Payment office;;
Admin Officer;;
Vaidation officer;;
Parts Provision Team;;
Service Team;Service Team;ORGANIZATION
Administrative;;
IT analyst;;
IT specialist;;
Inspection team member;;
Lead inspector;;
Dispatch;;
warehouse;;
Sender;Sender;PERSON
Receiver;;
Bank;Bank;ORGANIZATION
Bank Package Processing;;
Engineers;;
Lawyer;;
Plaintiff;;
Defendant;;
Law Firm;Law Firm;ORGANIZATION
Patient;;
Doctor;;
Nurse;;
Event Administrator;;
Business Development Manager;;
Brian's Team;Brian 's;PERSON
Project Manager;;
Department;;
Department head;;
ACME Inc.;ACME Inc.;ORGANIZATION
Umoja Change Management;Umoja Change Management;ORGANIZATION
Umoja Workstream Member;Umoja Workstream Member;ORGANIZATION
2nd level issue;;
1st level issue;;
Key Account Manager;;
1st Level support agent;;
2nd level support agent;;
Software Developer;;
Trouble Tracking System;;
DMS;DMS;ORGANIZATION
Employer;;
Finance/Accounting;;
Sales Department;;
Logistic department;;
ABC Bank;ABC Bank;ORGANIZATION
Storehouse;;
Sales dep.;;
Catering;;
Order;;
Delivery;;
Travel agency;;
Agency;;
Bank A;;
Bank B;;
External credit rating company;;
Traveller;;
Distribution;;
Tour Company;Tour Company;ORGANIZATION
design and implement a webpage;;
Applicant;;
Costumer Service Representative;;
Administration;;
Support Officer;;
Coordination Unit;Coordination Unit;ORGANIZATION
Committee Members;Committee Members;ORGANIZATION
Order Management;Order Management;ORGANIZATION
Stock;;
Logistic;;
Controlling;;
Dunning Process;Dunning Process;ORGANIZATION
SWIM User;;
PEP;;
Security Services;Security Services;ORGANIZATION
