Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;Enclosure;;Open Enclosure;
Liquid Cooling Module;Monitor LCM Status;monitors;Status;Monitor;LCM Status;
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;
User;Get M10 Tilt Angles;gets;M10 Tilt Angles;;M10 Tilt Angles;
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage;;Preset FSS Translation Stage;
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles;;Set M2 Tilt Angles;
FAS TCCD;Send FAS Setup;sends;Setup;Send;FAS Setup;
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment;Prepare for;VLTI Focus Adjustment;
TRS;Monitor Temperature data;monitors;Temperature data;Monitor;Temperature data;
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;;Preset Telescope to Catalogue Object;
User;Stop Pupil Alignment;stops;Pupil Alignment;Stop;Pupil Alignment;
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon;;Offset Guide Probe on Beacon;
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position;;Set M2 Focus Position;
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles;;M6 Tilt Angles;
M6 Mirror;Calibrate Az axis;calibrates;axis;;Calibrate Az;
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit;Set Remaining;Tracking Time Limit;
FSS STRAP;Do one star analysis;does;star analysis;;star analysis;
TRS;Monitor LCM Status;monitors;Status;Monitor;LCM Status;
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature;;Enclosure Temperature;
User;Get Tracking Remaining Time;gets;Tracking Remaining Time;Tracking Remaining;Time;
User;Stop Chopping;stops;Chopping;Stop Chopping;;
Power Module;Monitor Power Status;monitors;Power Status;Monitor;Power Status;
User;Stop Image Alignment;stops;Image Alignment;Stop;Image Alignment;
User;Do one star analysis;does;star analysis;;star analysis;
User;Stop FAS Acquisition;stops;FAS Acquisition;Stop;FAS Acquisition;
User;Check STRAP Pupil Alignment;checks;STRAP Pupil Alignment;Check;STRAP Pupil Alignment;
User;Set M2 Pupil Beacon Light Level;sets;M2 Pupil Beacon Light Level;;Set M2 Pupil Beacon Light Level;
Air Conditioning;Set Reference Temperature;sets;Reference Temperature;;Set Reference Temperature;
User;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;Calibrate;M6 versus Coude Sensors;
TRS;Monitor HPS Status;monitors;HPS Status;;Monitor HPS Status;
User;Get M2 Focus Position;gets;M2 Focus Position;;M2 Focus Position;
User;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;;Set Nasmyth Beacon Light Level;
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;;Set Nasmyth Beacon Light Level;
User;Stop Telescope Motion;stops;Telescope Motion;Stop;Telescope Motion;
User;Start cyclic calibrated corrections;starts;corrections;Start|calibrated;cyclic|corrections;
DewPoint Sensor;Set Dew Point Margin;sets;Dew Point Margin;;Set Dew Point Margin;
TRS;Monitor Cooling Flow;monitors;Cooling Flow;Monitor Cooling;Flow;
Probe;Preset FSS Translation Stage;presets;FSS Translation Stage;;Preset FSS Translation Stage;
User;Display Guide Detector Signals;displays;Guide Detector Signals;;Display Guide Detector Signals;
User;Get M2 Tilt Angles;gets;M2 Tilt Angles;;M2 Tilt Angles;
ASM;Close Enclosure On Bad Meteo Conditions;closes;Enclosure On Bad Meteo Conditions;;Close Enclosure On Bad Meteo Conditions;
Air Conditioning;Check Status Air Conditioning;checks;Status Air Conditioning;Check;Status Air Conditioning;
TRS;Monitor Power Status;monitors;Power Status;Monitor;Power Status;
User;Get Guide Star Data;gets;Guide Star Data;Guide;Star Data;
Nasmyth Wheel;Set Nasmyth Wheel;sets;Nasmyth Wheel;Set;Nasmyth Wheel;
M2 Mirror;Get M2 Center Position;gets;M2 Center Position;;M2 Center Position;
User;Set Guide Parameters;sets;Guide Parameters;;Set Guide Parameters;
User;Prepare for Delay Constant Alignment;prepares for;Delay Constant Alignment;Prepare for;Delay Constant Alignment;
TRS;Monitor Telescope Temperature;monitors;Telescope Temperature;;Monitor Telescope Temperature;
User;Set Guide Window Size;sets;Guide Window Size;;Set Guide Window Size;
User;Center M10;centers;M10;;Center M10;
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;Beam Switching Device;Switching;Set Coude Beam|Device;
