Entry;Entities;EntityType
Storyboard;;
Building;;
review;;
end;;
Charles;Charles;PERSON
Miranda;Miranda;PERSON
Customer;;
Accounting;;
Sales;Sales;ORGANIZATION
Warehouse;Ware;LOCATION
Supplier;;
Purchasing;;
Supervisor;;
CSR;CS;ORGANIZATION
Mortgage Specialist;Mort|Special;B-misc|I-misc
Claim Adjuster;Cl|Ad;PERSON|I-per
Customer Service;Service|Custom;B-misc|I-misc
Technician;;
Store Owner;Store Own;ORGANIZATION
lecturer;;
team;;
student;;
Checked department;;
Auditor;Audi;ORGANIZATION
examiner;;
Insurance company;;
insurer;;
Finance;Finance;ORGANIZATION
Engineering;Engineering;ORGANIZATION
Reporter;Reporter;ORGANIZATION
Analyst;;
reporter;;
agent;;
analyst;;
sales;;
Volley Club;Volley Club;ORGANIZATION
candidate;;
Web Designer;;
Charles;Charles;PERSON
Backup;;
Customer Service Representative;Service Representative|Custom;B-misc|I-misc
commitee members;;
support officer;;
coordination unit;;
Sales and Marketing;Sales and Marketing;B-misc
Production;;
Logistics and Distribution;Lo|and Distribution;ORGANIZATION|I-org
Legal department;;
Validation Department;Department;ORGANIZATION
The Registry;The Regis;B-misc
Payment Department;Department|Pay;ORGANIZATION|I-org
Account Receivable Department;Department|Account Rec;B-misc|I-misc
SSP Clients;Cl|SS;B-misc|I-misc
Admin Department;Department|Ad;ORGANIZATION|I-org
Mail Centre;Mail Centre;ORGANIZATION
Vendor Master Record Data Entry Department;Department|Master Record Data Entry|Ve;B-misc|I-misc|I-org
Data Entry Department;Data Entry Department;ORGANIZATION
Vendor;Ve;LOCATION
Logistics;;
Italian Restaurant;Italian Restaurant;LOCATION
Part Provision Team;Team|Part Pro;ORGANIZATION|I-org
Army;Army;ORGANIZATION
Sales & Distribution;Sales & Distribution;B-misc
Cashier;Cash;ORGANIZATION
Small claims tribunal;;
Party;Party;B-misc
Assessment Manager;Assessment Manager;B-misc
Cadastre;Cada;B-misc
DMR;DM;PERSON
Seller;;
Auctioning Service;Service|Au;B-misc|I-misc
Travel Agency;Travel Agency;ORGANIZATION
Airline;Air;ORGANIZATION
Client;Cl;B-misc
Risk Assessor;Risk Ass;B-misc
Loan Officer;Loan Officer;ORGANIZATION
Financial Officer;Financial Officer;ORGANIZATION
Insurance Sales Rep.;Insurance Sales Rep;ORGANIZATION
Listings;;
Judicary;Ju;ORGANIZATION
Loan Provider;Loan Pro;ORGANIZATION
Insurance client;;
Mortgage department;;
Insurance department;;
Financial department;;
Broker;Bro;PERSON
Office;;
Carrier;Carrier;ORGANIZATION
SSP (Mail Center);SS|Mail Center;ORGANIZATION|LOCATION
Admin Office;Office|Ad;ORGANIZATION|I-org
Mail Center;Mail Center;LOCATION
Data Entry Office;Data Entry Office;B-misc
Master Data Enter Department;Master Data Enter Department;B-misc
Validation Office;Office|Val;ORGANIZATION|I-org
Registry;;
Credit Company;Credit Company;ORGANIZATION
Order to Cash;Order to Cash;B-misc
Make to Inventory;Make to Inventory;B-misc
Teacher;;
Team;Team;ORGANIZATION
Student;;
Bank Agent;Bank Agent;ORGANIZATION
Bank System;Bank System;B-misc
Business Analyst;Business Ana;ORGANIZATION
PHP/HTML/CSS Specialist;PHP|CSS Special;B-misc|B-misc
Tester;;
Marketing Manager;Manager;I-org
IT Staff Member;IT Staff;B-misc
Company's Spokesperson;Sp;ORGANIZATION
PRWeb Representative;PR|Representative;B-misc|I-misc
PRWeb Services Headquarters;Services Headquarters|PR;ORGANIZATION|I-loc
Graphic Designer;Designer;I-org
Printing house;;
Company Representative;Company Representative;ORGANIZATION
Camera man;;
Graphic designer;;
Sound editor;;
Executive producer/Director;Director;ORGANIZATION
Advertisments Advisor;Ad;ORGANIZATION
Pit's Store;Pit|Store;B-misc|I-misc
Fami;Fam;ORGANIZATION
Marketing;Marketing;B-misc
Management;;
IT Department;IT Department;ORGANIZATION
Operator;;
HR;HR;ORGANIZATION
Support line - part time workers;;
Data entry officer;;
Master data entry department;;
Mail center;;
Accounts Receivable Department;Department|Rec|Account;B-misc|I-org|I-misc
Payment office;;
Admin Officer;Officer|Ad;ORGANIZATION|I-org
Vaidation officer;;
Parts Provision Team;Team|Parts Pro;ORGANIZATION|I-org
Service Team;Service Team;B-misc
Administrative;;
IT analyst;;
IT specialist;IT;B-misc
Inspection team member;;
Lead inspector;;
Dispatch;;
warehouse;;
Sender;;
Receiver;;
Bank;Bank;ORGANIZATION
