Task;VerbPhrases;NounPhrases
adds incoming mail date, records letter, archives it;"archives;adds;archives;adds";";records letter;records letter;incoming mail date"
empties  and  checks the mails in the mailbox;"empties;checks";";mails"
sends a letter to person and explaines why not;sends;letter to person
prepare invoices and send a letter to customer;"send;prepare";"letter to customer;invoices"
prints a membership card and send to new customer;"send to;prints";"new customer;membership card"
stamps 'new member' and writes the date;writes;date
Create and submit the quotation;submit;quotation
Assemble shipment and packing list;"Assemble;Assemble";"shipment;packing list"
Select a suitable vendor and send purchase order;"send;Select";"purchase order;suitable vendor"
Inform customer and close transaction;Inform;close transaction
Decide to accept or reject claim;reject;claim
Decide to accept or reject claim;reject;claim
Bring computer to ACM and describe problem;"describe;Bring";"problem;computer to ACM"
Complete the repair and test computer;"Complete;Complete";"repair;test computer"
Create estimate of repair time and cost;"Create;Create";"cost;estimate of repair time"
Complete repair and test computer;;
check the process and assign points;"assign;check";"points;process"
check the progress and consult problems;"check;consult";"progress;problems"
extend the process to L2,3;extend;process
contact insurer and consult the case;"consult;consult";"case;contact insurer"
Review Pricing Options and Generate Sales Quote;Generate;Sales Quote
Produce Cost;;
note incident number and code;"note;note";"code;incident number"
Review pricing options and generate sales quote;"generate;generate";"Review pricing options;sales quote"
Produce Cost Estimates;Produce;Cost Estimates
Production Order confirmation  and  Production of motorcycle;;
Produced labor and materal costs;;
accepting the candidate and sending the letter to Charles;"accepting;sending";"candidate;letter to Charles"
Empties Mailbox and check for missing information;"check for missing;Empties";"information;Mailbox"
recording and archiving;;
check diaries and for conflicts;check;diaries
check dates and suggest modifications;"suggest;check";"modifications;dates"
pay bill and tip;;
Schedule exams and interview;interview;Schedule exams
Enter client/vendor information on the invoice entry form;Enter;vendor information
Purchase missing parts and put on stock;"put on;;put on";"Purchase;parts;stock"
Pack and label product;Pack;label product
Consult project, check progress;check;progress
Analyse field and identify process;"identify;Analyse";"process;field"
Extend their process to L 2,3;Extend;their process to L
Check design and provide feedback;"Check;provide";"design;feedback"
Create and provide information about the company;provide;information
Inquire about PRWeb press release services and prices for company's specific requirements;"Inquire about;Inquire about";"PRWeb press release services;prices for company"
Integrate Design and decide where such data should be placed;Integrate;Design
collect data and conduct business analysis covering all aspects about company's products;"covering;conduct;collect";"aspects about company;business analysis;data"
create graphics and develop design for the leaflet;"develop;create";"design;graphics"
create graphics and develop design for the whitepaper;"develop;create";"design;graphics"
Find or create Music;create;Music
Import Audio: Narration, Music and Sound Effects;;
Create Titles, Subtitles, Credits;Create;Credits
Determine the Form or Style;Determine;Form or Style
calculate and send price offer;send;price offer
check and repair the hardware;repair;hardware
checks and configures the software;"configures;configures";"checks;software"
stop negotiation and don't order;stop;negotiation
Extend their process to Level 2,3;Extend;their process to Level
Analyse field and identify processes;"identify;Analyse";"processes;field"
Analyze responses and start negotiation;"Analyze;start";"responses;negotiation"
Analyze reasons and learn a lesson;"Analyze;learn";"reasons;lesson"
Edit and complete request;;
fullfil form and send request to management;"send;fullfil";"request to management;form"
receive hw and invoice;;
sent to client, accouts receivable department and registry;"sent to;sent to;sent to";"client;registry;accouts receivable department"
check the completeness and tick relevant box;"check;tick";"completeness;relevant box"
extend process to level 2,3;extend;
Prepare, read the materials;read;materials
Verify and sign by CFO;sign by;CFO
Generate ratio  and  KPI;Generate;ratio
Verify ratio  and  KPIs;"Verify;Verify";"KPIs;ratio"
Extend process to level 2,3;Extend;process
