Task;VerbPhrases;NounPhrases
adds incoming mail date, records letter, archives it;"adds;adds";"incoming mail date;archives"
empties  and  checks the mails in the mailbox;"empties;empties";"checks;mails"
sends a letter to person and explaines why not;"sends;sends";"letter to person;explaines"
prepare invoices and send a letter to customer;"prepare;send";"invoices;letter to customer"
prints a membership card and send to new customer;prints;membership card
stamps 'new member' and writes the date;"writes;writes";"date;new member"
Create and submit the quotation;submit;quotation
Assemble shipment and packing list;"Assemble;Assemble";"packing list;shipment"
Select a suitable vendor and send purchase order;"Select;send";"suitable vendor;purchase order"
Inform customer and close transaction;"Inform;Inform";"customer;close transaction"
Decide to accept or reject claim;Decide to accept;claim
Decide to accept or reject claim;Decide to accept;claim
Bring computer to ACM and describe problem;"describe;Bring";"problem;computer to ACM"
Complete the repair and test computer;"Complete;Complete";"test computer;repair"
Create estimate of repair time and cost;"Create;Create";"estimate of repair time;cost"
Complete repair and test computer;;
check the process and assign points;"assign;check";"points;process"
check the progress and consult problems;"check;consult";"progress;problems"
extend the process to L2,3;extend;process to L2
contact insurer and consult the case;"consult;contact";"case;insurer"
Review Pricing Options and Generate Sales Quote;"Generate;Generate";"Review Pricing Options;Sales Quote"
Produce Cost;Produce;Cost
note incident number and code;;
Review pricing options and generate sales quote;"generate;generate";"sales quote;Review pricing options"
Produce Cost Estimates;Produce;Cost Estimates
Production Order confirmation  and  Production of motorcycle;;
Produced labor and materal costs;;
accepting the candidate and sending the letter to Charles;"accepting;sending";"candidate;letter to Charles"
Empties Mailbox and check for missing information;"Empties;Empties";"check;Mailbox"
recording and archiving;;
check diaries and for conflicts;"check;check";"conflicts;diaries"
check dates and suggest modifications;"check;suggest";"dates;modifications"
pay bill and tip;"pay;pay";"bill;tip"
Schedule exams and interview;;
Enter client/vendor information on the invoice entry form;"Enter;Enter";"client;vendor information"
Purchase missing parts and put on stock;"put on;Purchase missing";"stock;parts"
Pack and label product;;
Consult project, check progress;"check;Consult";"progress;project"
Analyse field and identify process;"Analyse;identify";"field;process"
Extend their process to L 2,3;Extend;their process to L
Check design and provide feedback;"Check;provide";"design;feedback"
Create and provide information about the company;provide;information
Inquire about PRWeb press release services and prices for company's specific requirements;"Inquire about;Inquire about";"prices for company;PRWeb press release services"
Integrate Design and decide where such data should be placed;Integrate;Design
collect data and conduct business analysis covering all aspects about company's products;"collect;collect;covering";"data;conduct business analysis;aspects about company"
create graphics and develop design for the leaflet;"develop;create";"design;graphics"
create graphics and develop design for the whitepaper;"develop;create";"design;graphics"
Find or create Music;create;Music
Import Audio: Narration, Music and Sound Effects;;
