Entry;Entities;EntityType
Storyboard;;
Building;;
review;;
end;;
Charles;Charles;PERSON
Miranda;Miranda;PERSON
Customer;;
Accounting;;
Sales;;
Warehouse;;
Supplier;;
Purchasing;;
Supervisor;Supervisor;TITLE
CSR;;
Mortgage Specialist;Specialist;TITLE
Claim Adjuster;Claim Adjuster;TITLE
Customer Service;Customer Service;ORGANIZATION
Technician;Technician;TITLE
Store Owner;Owner;TITLE
lecturer;lecturer;TITLE
team;;
student;student;TITLE
Checked department;;
Auditor;Auditor;TITLE
examiner;examiner;TITLE
Insurance company;;
insurer;insurer;TITLE
Finance;;
Engineering;;
Reporter;Reporter;TITLE
Analyst;Analyst;TITLE
reporter;reporter;TITLE
agent;;
analyst;analyst;TITLE
sales;;
Volley Club;Volley Club;PERSON
candidate;candidate;TITLE
Web Designer;Web Designer;TITLE
Charles;Charles;PERSON
Backup;;
Customer Service Representative;Customer Service Representative;TITLE
commitee members;;
support officer;;
coordination unit;;
Sales and Marketing;;
Production;;
Logistics and Distribution;;
Legal department;;
Validation Department;;
The Registry;;
Payment Department;;
Account Receivable Department;;
SSP Clients;;
Admin Department;;
Mail Centre;;
Vendor Master Record Data Entry Department;Vendor;TITLE
Data Entry Department;;
Vendor;Vendor;TITLE
Logistics;;
Italian Restaurant;Italian;NATIONALITY
Part Provision Team;;
Army;;
Sales & Distribution;;
Cashier;Cashier;TITLE
Small claims tribunal;;
Party;;
Assessment Manager;Manager;TITLE
Cadastre;Cadastre;PERSON
DMR;;
Seller;;
Auctioning Service;;
Travel Agency;;
Airline;;
Client;;
Risk Assessor;Assessor;TITLE
Loan Officer;Loan Officer;TITLE
Financial Officer;;
Insurance Sales Rep.;Rep.;TITLE
Listings;;
Judicary;;
Loan Provider;;
Insurance client;;
Mortgage department;;
Insurance department;;
Financial department;;
Broker;Broker;TITLE
Office;;
Carrier;;
SSP (Mail Center);;
Admin Office;;
Mail Center;;
Data Entry Office;;
Master Data Enter Department;;
Validation Office;;
Registry;;
Credit Company;Credit Company;ORGANIZATION
Order to Cash;;
Make to Inventory;;
Teacher;Teacher;TITLE
Team;;
Student;Student;TITLE
Bank Agent;;
Bank System;;
Business Analyst;Analyst;TITLE
PHP/HTML/CSS Specialist;Specialist;TITLE
Tester;Tester;TITLE
Marketing Manager;Marketing Manager;TITLE
IT Staff Member;;
Company's Spokesperson;Spokesperson;TITLE
PRWeb Representative;Representative;TITLE
PRWeb Services Headquarters;;
Graphic Designer;Graphic Designer;TITLE
Printing house;;
Company Representative;Representative;TITLE
Camera man;;
Graphic designer;Graphic designer;TITLE
Sound editor;editor;TITLE
Executive producer/Director;Executive;TITLE
Advertisments Advisor;;
Pit's Store;;
Fami;Fami;PERSON
Marketing;;
Management;;
IT Department;;
Operator;Operator;TITLE
HR;HR;DURATION
Support line - part time workers;;
Data entry officer;;
Master data entry department;;
Mail center;;
Accounts Receivable Department;;
Payment office;;
Admin Officer;;
Vaidation officer;;
Parts Provision Team;;
Service Team;Service Team;PERSON
Administrative;;
IT analyst;analyst;TITLE
IT specialist;specialist;TITLE
Inspection team member;;
Lead inspector;inspector;TITLE
Dispatch;;
warehouse;;
Sender;;
Receiver;;
Bank;;
Bank Package Processing;;
Engineers;;
Lawyer;Lawyer;TITLE
Plaintiff;;
Defendant;;
Law Firm;;
Patient;;
Doctor;Doctor;TITLE
Nurse;Nurse;TITLE
Event Administrator;Administrator;TITLE
Business Development Manager;Manager;TITLE
Brian's Team;Brian;PERSON
Project Manager;Project Manager;TITLE
Department;;
Department head;;
ACME Inc.;ACME Inc.;ORGANIZATION
Umoja Change Management;;
Umoja Workstream Member;;
2nd level issue;2nd;ORDINAL
1st level issue;1st;ORDINAL
Key Account Manager;Manager;TITLE
1st Level support agent;1st;ORDINAL
2nd level support agent;2nd;ORDINAL
Software Developer;Developer;TITLE
Trouble Tracking System;;
DMS;;
Employer;;
Finance/Accounting;;
Sales Department;;
Logistic department;;
ABC Bank;ABC Bank;ORGANIZATION
Storehouse;;
Sales dep.;;
Catering;;
Order;;
Delivery;;
Travel agency;;
Agency;;
Bank A;;
Bank B;;
External credit rating company;;
Traveller;;
Distribution;;
Tour Company;Tour Company;MISC
design and implement a webpage;;
Applicant;;
Costumer Service Representative;Costumer Service Representative;TITLE
Administration;;
Support Officer;;
Coordination Unit;;
Committee Members;;
Order Management;;
Stock;;
Logistic;;
Controlling;;
Dunning Process;;
SWIM User;;
PEP;;
Security Services;;
