Subject;Activity;Verb phrases;Noun phrases;Activity Combined;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;"User;Enclosure";User Open Enclosure;;user open enclosure;
Liquid Cooling Module;Monitor LCM Status;monitors;"Liquid Cooling Module;Status";Liquid Cooling Module Monitor LCM Status;;liquid cooling module monitor lcm status;
TRS;Periodic Set Reference Temperature;;TRS Periodic Set Reference Temperature;TRS Periodic Set Reference Temperature;;trs periodic set reference temperature;
User;Get M10 Tilt Angles;gets;"User;M10 Tilt Angles";User Get M10 Tilt Angles;gets;user|tilt angles;
Translation Stage Drive;Preset FSS Translation Stage;presets;"Translation Stage Drive;FSS Translation Stage";Translation Stage Drive Preset FSS Translation Stage;##sets;translation stage drive|fss translation stage;
M2 Mirror;Set M2 Tilt Angles;sets;"M2 Mirror;M2 Tilt Angles";M2 Mirror Set M2 Tilt Angles;;mirror set m2 tilt angles;
FAS TCCD;Send FAS Setup;sends;"FAS TCCD;Setup";FAS TCCD Send FAS Setup;sends;fas tccd|fas setup;
User;Prepare for VLTI Focus Adjustment;prepares for;"User;VLTI Focus Adjustment";User Prepare for VLTI Focus Adjustment;prepares for;user|vlti focus adjustment;
TRS;Monitor Temperature data;monitors;"TRS;Temperature data";TRS Monitor Temperature data;monitors;trs|temperature data;
Catalogs;Preset Telescope to Catalogue Object;presets;"Catalogs;Telescope|Catalogue Object";Catalogs Preset Telescope to Catalogue Object;catalogs|##sets|catalogues;telescope|object;
User;Stop Pupil Alignment;stops;"User;Pupil Alignment";User Stop Pupil Alignment;;user stop pupil alignment;
User;Offset Guide Probe on Beacon;off sets;"User;Guide Probe on Beacon";User Offset Guide Probe on Beacon;;user offset guide probe on beacon;
M2 Mirror;Set M2 Focus Position;sets;"M2 Mirror;M2 Focus Position";M2 Mirror Set M2 Focus Position;;mirror set m2 focus position;
M6 Mirror;Get M6 Tilt Angles;gets;"M6 Mirror;Tilt Angles";M6 Mirror Get M6 Tilt Angles;gets;m6 mirror|m6 tilt angles;
M6 Mirror;Calibrate Az axis;calibrates;"M6 Mirror;axis";M6 Mirror Calibrate Az axis;;m6 mirror calibrate az axis;
User;Set Remaining Tracking Time Limit;sets;"User;Remaining Tracking Time Limit";User Set Remaining Tracking Time Limit;sets remaining;user|tracking time limit;
FSS STRAP;Do one star analysis;does;"FSS STRAP;star analysis";FSS STRAP Do one star analysis;does;fss strap|star analysis;
TRS;Monitor LCM Status;monitors;"TRS;Status";TRS Monitor LCM Status;monitors;trs|lcm status;
