Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;Enclosure;;open enclosure;
Liquid Cooling Module;Monitor LCM Status;monitors;Status;monitors;lcm status;
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;;periodic set reference temperature;
User;Get M10 Tilt Angles;gets;M10 Tilt Angles;gets;tilt angles;
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage;##sets;fss translation stage;
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles;sets;tilt angles;
FAS TCCD;Send FAS Setup;sends;Setup;sends;fas setup;
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment;prepares for;vlti focus adjustment;
TRS;Monitor Temperature data;monitors;Temperature data;monitors;temperature data;
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;catalogues;preset telescope to|object;
User;Stop Pupil Alignment;stops;Pupil Alignment;stops;pupil alignment;
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon;;offset guide probe on beacon;
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position;sets;m2 focus position;
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles;gets;m6 tilt angles;
M6 Mirror;Calibrate Az axis;calibrates;axis;;calibrate az axis;
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit;sets remaining;tracking time limit;
FSS STRAP;Do one star analysis;does;star analysis;does;star analysis;
TRS;Monitor LCM Status;monitors;Status;monitors;lcm status;
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature;gets;enclosure temperature;
User;Get Tracking Remaining Time;gets;Tracking Remaining Time;gets|remains;tracking|time;
User;Stop Chopping;stops;Chopping;stops chopping;;
Power Module;Monitor Power Status;monitors;Power Status;monitors;power status;
User;Stop Image Alignment;stops;Image Alignment;stops;image alignment;
User;Do one star analysis;does;star analysis;does;star analysis;
User;Stop FAS Acquisition;stops;FAS Acquisition;stops;fas acquisition;
