Subject;Activity;Verb phrases;Noun phrases;Activity Combined;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;"User;Enclosure";User Open Enclosure;Opens;User|Enclosure;
Liquid Cooling Module;Monitor LCM Status;monitors;"Liquid Cooling Module;Status";Liquid Cooling Module Monitor LCM Status;;Liquid Cooling;Module Monitor LCM Status
TRS;Periodic Set Reference Temperature;;TRS Periodic Set Reference Temperature;TRS Periodic Set Reference Temperature;Sets;;TRS|Reference Temperature
User;Get M10 Tilt Angles;gets;"User;M10 Tilt Angles";User Get M10 Tilt Angles;Gets|Tilts;User|M10|Angles;
Translation Stage Drive;Preset FSS Translation Stage;presets;"Translation Stage Drive;FSS Translation Stage";Translation Stage Drive Preset FSS Translation Stage;Drives;Translation Stage|Preset FSS Translation Stage;
M2 Mirror;Set M2 Tilt Angles;sets;"M2 Mirror;M2 Tilt Angles";M2 Mirror Set M2 Tilt Angles;Sets|Tilts;M2|M2|Angles;Mirror
FAS TCCD;Send FAS Setup;sends;"FAS TCCD;Setup";FAS TCCD Send FAS Setup;Sends;FAS TCCD;FAS Setup
User;Prepare for VLTI Focus Adjustment;prepares for;"User;VLTI Focus Adjustment";User Prepare for VLTI Focus Adjustment;Prepares for;User;VLTI Focus Adjustment
TRS;Monitor Temperature data;monitors;"TRS;Temperature data";TRS Monitor Temperature data;;data;TRS Monitor Temperature
Catalogs;Preset Telescope to Catalogue Object;presets;"Catalogs;Telescope|Catalogue Object";Catalogs Preset Telescope to Catalogue Object;;Catalogs;Preset Telescope|Catalogue Object
User;Stop Pupil Alignment;stops;"User;Pupil Alignment";User Stop Pupil Alignment;;User Stop Pupil Alignment;
User;Offset Guide Probe on Beacon;off sets;"User;Guide Probe on Beacon";User Offset Guide Probe on Beacon;;User;Offset Guide Probe|Beacon
M2 Mirror;Set M2 Focus Position;sets;"M2 Mirror;M2 Focus Position";M2 Mirror Set M2 Focus Position;Sets;M2|M2 Focus Position;Mirror
M6 Mirror;Get M6 Tilt Angles;gets;"M6 Mirror;Tilt Angles";M6 Mirror Get M6 Tilt Angles;Gets|Tilts;M6|Angles;M6 Mirror
M6 Mirror;Calibrate Az axis;calibrates;"M6 Mirror;axis";M6 Mirror Calibrate Az axis;Calibrates;Az axis;M6 Mirror
User;Set Remaining Tracking Time Limit;sets;"User;Remaining Tracking Time Limit";User Set Remaining Tracking Time Limit;Sets;User|Remaining Tracking;Time Limit
FSS STRAP;Do one star analysis;does;"FSS STRAP;star analysis";FSS STRAP Do one star analysis;;FSS|star analysis;
TRS;Monitor LCM Status;monitors;"TRS;Status";TRS Monitor LCM Status;Monitors;TRS;LCM Status
Air Conditioning;Get Enclosure Temperature;gets;"Air Conditioning;Enclosure Temperature";Air Conditioning Get Enclosure Temperature;Gets;;Air Conditioning|Enclosure Temperature
User;Get Tracking Remaining Time;gets;"User;Tracking Remaining Time";User Get Tracking Remaining Time;Gets;User|Remaining;Tracking|Time
User;Stop Chopping;stops;"User;Chopping";User Stop Chopping;;User Stop Chopping;
Power Module;Monitor Power Status;monitors;"Power Module;Power Status";Power Module Monitor Power Status;;;Power Module Monitor Power Status
User;Stop Image Alignment;stops;"User;Image Alignment";User Stop Image Alignment;;User Stop Image Alignment;
User;Do one star analysis;does;"User;star analysis";User Do one star analysis;;User|star analysis;
User;Stop FAS Acquisition;stops;"User;FAS Acquisition";User Stop FAS Acquisition;;User Stop;FAS Acquisition
User;Check STRAP Pupil Alignment;checks;"User;STRAP Pupil Alignment";User Check STRAP Pupil Alignment;Checks;User|STRAP Pupil Alignment;
User;Set M2 Pupil Beacon Light Level;sets;"User;M2 Pupil Beacon Light Level";User Set M2 Pupil Beacon Light Level;Sets;User|M2 Pupil;Beacon Light Level
Air Conditioning;Set Reference Temperature;sets;"Air Conditioning;Reference Temperature";Air Conditioning Set Reference Temperature;Sets;;Air Conditioning|Reference Temperature
User;Calibrate M6 versus Coude Sensors;calibrates;"User;M6|Coude Sensors";User Calibrate M6 versus Coude Sensors;Calibrates;User|M6|Sensors;Coude
TRS;Monitor HPS Status;monitors;"TRS;HPS Status";TRS Monitor HPS Status;Monitors;TRS;HPS Status
User;Get M2 Focus Position;gets;"User;M2 Focus Position";User Get M2 Focus Position;Gets;User|M2 Focus Position;
User;Set Nasmyth Beacon Light Level;sets;"User;Nasmyth Beacon Light Level";User Set Nasmyth Beacon Light Level;Sets;User;Nasmyth Beacon Light Level
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;"Nasmyth Wheel;Nasmyth Beacon Light Level";Nasmyth Wheel Set Nasmyth Beacon Light Level;Sets;Wheel;Nasmyth|Nasmyth Beacon Light Level
User;Stop Telescope Motion;stops;"User;Telescope Motion";User Stop Telescope Motion;;User Stop;Telescope Motion
User;Start cyclic calibrated corrections;starts;"User;corrections";User Start cyclic calibrated corrections;;User|corrections;Start
DewPoint Sensor;Set Dew Point Margin;sets;"DewPoint Sensor;Dew Point Margin";DewPoint Sensor Set Dew Point Margin;Sets;Dew Point Margin;DewPoint Sensor
TRS;Monitor Cooling Flow;monitors;"TRS;Cooling Flow";TRS Monitor Cooling Flow;;Flow;TRS Monitor Cooling
Probe;Preset FSS Translation Stage;presets;"Probe;FSS Translation Stage";Probe Preset FSS Translation Stage;;Translation Stage;Probe Preset FSS
User;Display Guide Detector Signals;displays;"User;Guide Detector Signals";User Display Guide Detector Signals;Displays;User|Signals;Guide Detector
User;Get M2 Tilt Angles;gets;"User;M2 Tilt Angles";User Get M2 Tilt Angles;Gets|Tilts;User|M2|Angles;
ASM;Close Enclosure On Bad Meteo Conditions;closes;"ASM;Enclosure On Bad Meteo Conditions";ASM Close Enclosure On Bad Meteo Conditions;;ASM Close Enclosure|Conditions;Meteo
Air Conditioning;Check Status Air Conditioning;checks;"Air Conditioning;Status Air Conditioning";Air Conditioning Check Status Air Conditioning;Checks;;Air Conditioning|Status Air Conditioning
TRS;Monitor Power Status;monitors;"TRS;Power Status";TRS Monitor Power Status;;TRS;Monitor Power Status
User;Get Guide Star Data;gets;"User;Guide Star Data";User Get Guide Star Data;Gets;User;Guide Star Data
Nasmyth Wheel;Set Nasmyth Wheel;sets;"Nasmyth Wheel;Nasmyth Wheel";Nasmyth Wheel Set Nasmyth Wheel;Sets;Wheel|Wheel;Nasmyth|Nasmyth
M2 Mirror;Get M2 Center Position;gets;"M2 Mirror;M2 Center Position";M2 Mirror Get M2 Center Position;Gets;M2|M2|Position;Mirror|Center
User;Set Guide Parameters;sets;"User;Guide Parameters";User Set Guide Parameters;Sets;User;Guide Parameters
User;Prepare for Delay Constant Alignment;prepares for;"User;Delay Constant Alignment";User Prepare for Delay Constant Alignment;Prepares for;User|Constant Alignment;Delay
TRS;Monitor Telescope Temperature;monitors;"TRS;Telescope Temperature";TRS Monitor Telescope Temperature;Monitors;TRS;Telescope Temperature
User;Set Guide Window Size;sets;"User;Guide Window Size";User Set Guide Window Size;Sets;User|Size;Guide Window
User;Center M10;centers;"User;M10";User Center M10;;User|M10;Center
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;"Coude Beam Switching Device;Beam Switching Device";Coude Beam Switching Device Set Coude Beam Switching Device;Sets;Switching|Switching Device;Coude Beam|Coude Beam
Telescope Temperature Sensors;Monitor Temperature data;monitors;"Telescope Temperature Sensors;Temperature data";Telescope Temperature Sensors Monitor Temperature data;;data;Telescope Temperature Sensors Monitor Temperature
User;Stop Air Conditioning;stops;"User;Air Conditioning";User Stop Air Conditioning;;User;Stop Air Conditioning
User;Get M6 Tilt Angles;gets;"User;Tilt Angles";User Get M6 Tilt Angles;Gets|Tilts;User|M6|Angles;
User;Start Chopping;starts;"User;Chopping";User Start Chopping;;User;Start Chopping
User;Check Status Enclosure;checks;"User;Status Enclosure";User Check Status Enclosure;Checks;User;Status Enclosure
FSS STRAP;Optimize Field Stabilisation;optimizes;"FSS STRAP;Field Stabilisation";FSS STRAP Optimize Field Stabilisation;Optimizes;FSS|Field Stabilisation;
Azimuth Drive;Calibrate Az axis;calibrates;"Azimuth Drive;axis";Azimuth Drive Calibrate Az axis;Calibrates;Az axis;Azimuth Drive
DewPoint Sensor;Monitor Environmental data;monitors;"DewPoint Sensor;Environmental data";DewPoint Sensor Monitor Environmental data;;data;DewPoint Sensor Monitor Environmental
Air Conditioning;Monitor Telescope Temperature;monitors;"Air Conditioning;Telescope Temperature";Air Conditioning Monitor Telescope Temperature;;;Air Conditioning Monitor Telescope Temperature
User;Power On FAS;powers on;"User;FAS";User Power On FAS;;User Power On FAS;
FAS TCCD;Calibrate Az axis;calibrates;"FAS TCCD;axis";FAS TCCD Calibrate Az axis;Calibrates;FAS TCCD|Az axis;
M2 Mirror;Get M2 Focus Position;gets;"M2 Mirror;M2 Focus Position";M2 Mirror Get M2 Focus Position;Gets;M2|M2 Focus Position;Mirror
User;Adjust Pointing Axis Reference Points;adjusts pointing;"User;Axis Reference Points";User Adjust Pointing Axis Reference Points;Adjusts;User|Pointing;Axis Reference Points
User;Set M6 Tilt Angles;sets;"User;M6 Tilt Angles";User Set M6 Tilt Angles;Sets|Tilts;User|M6|Angles;
User;Make Pointing Error Measurement;makes pointing;"User;Error Measurement";User Make Pointing Error Measurement;Makes;User|Pointing;Error Measurement
TRS;Power On/Off M6;powers on;"TRS;M6";TRS Power On/Off M6;;;TRS Power On/Off M6
Tracking Axis Drive;Preset Telescope;presets;"Tracking Axis Drive;Telescope";Tracking Axis Drive Preset Telescope;;Tracking;Axis Drive Preset Telescope
FSS Field Diaphragm;Set FSS Field Diaphragm;sets;"FSS Field Diaphragm;FSS Field Diaphragm";FSS Field Diaphragm Set FSS Field Diaphragm;Sets;;FSS Field Diaphragm|FSS Field Diaphragm
TRS;Stop Autoguiding;stops;"TRS;Autoguiding";TRS Stop Autoguiding;;TRS|Autoguiding;
User;Probe to Next Guide Star;probes to;"User;Next Guide Star";User Probe to Next Guide Star;;User Probe;Guide Star
FAS TCCD;Power On FAS;powers on;"FAS TCCD;FAS";FAS TCCD Power On FAS;;FAS;TCCD Power|FAS
User;Set M2 Tilt Angles;sets;"User;M2 Tilt Angles";User Set M2 Tilt Angles;Sets|Tilts;User|M2|Angles;
User;Offset Guide Probe on star;off sets;"User;Guide Probe on star";User Offset Guide Probe on star;;User|star;Offset Guide Probe
User;Get M2 Center Position;gets;"User;M2 Center Position";User Get M2 Center Position;Gets;User|M2|Position;Center
M6 Mirror;Center M6;centers;"M6 Mirror;M6";M6 Mirror Center M6;;M6;M6 Mirror Center
User;Cyclic closed loop active optics corrections;;User Cyclic closed loop active optics corrections;User Cyclic closed loop active optics corrections;;User|loop active optics corrections;Cyclic
Enclosure;Close Enclosure;closes;"Enclosure;Enclosure";Enclosure Close Enclosure;;;Enclosure Close Enclosure
M10 Mirror;Center M10;centers;"M10 Mirror;M10";M10 Mirror Center M10;;M10|M10;Mirror Center
M6 Mirror;Monitor M6 Status;monitors;"M6 Mirror;M6 Status";M6 Mirror Monitor M6 Status;;;M6 Mirror Monitor M6 Status
Tracking Axis Drive;Preset Telescope to Named Position;presets;"Tracking Axis Drive;Telescope|Named Position";Tracking Axis Drive Preset Telescope to Named Position;;Tracking|Position;Axis Drive Preset Telescope
TRS;Monitor M6 Status;monitors;"TRS;M6 Status";TRS Monitor M6 Status;;;TRS Monitor M6 Status
User;Prepare for Pupil Alignment;prepares for;"User;Pupil Alignment";User Prepare for Pupil Alignment;Prepares for;User|Alignment;Pupil
TRS;Monitor Cabinet Cooling;monitors;"TRS;Cabinet Cooling";TRS Monitor Cabinet Cooling;Monitors;TRS;Cabinet Cooling
User;Measure and Install POM;instals;"User;Measure|POM";User Measure and Install POM;Installs;User Measure|POM;
TRS;Get Tracking Remaining Time;gets;"TRS;Tracking|Time";TRS Get Tracking Remaining Time;Gets;TRS|Remaining;Tracking|Time
FSS Filter Wheel;Set FSS Filter Wheel;sets;"FSS Filter Wheel;nan";FSS Filter Wheel Set FSS Filter Wheel;Sets;FSS|Wheel|FSS|Wheel;Filter|Filter
User;Adjust Coude Focus;adjusts;"User;Focus";User Adjust Coude Focus;Adjusts;User;Coude Focus
Altitude Cabinet;Monitor Cabinet Cooling;monitors;"Altitude Cabinet;Cabinet Cooling";Altitude Cabinet Monitor Cabinet Cooling;;;Altitude Cabinet Monitor Cabinet Cooling
User;Combined Offset;combines;"User;Offset";User Combined Offset;;User;Offset
Transporter;Check Status Anchors;checks;"Transporter;Status Anchors";Transporter Check Status Anchors;Checks;Transporter;Status Anchors
User;Set M10 Tilt Angles;sets;"User;Tilt Angles";User Set M10 Tilt Angles;Sets|Tilts;User|M10|Angles;
User;Read Telescope Temperature Sensors;reads;"User;Telescope Temperature Sensors";User Read Telescope Temperature Sensors;Reads;User;Telescope Temperature Sensors
User;Set M2 Focus Position;sets;"User;M2 Focus Position";User Set M2 Focus Position;Sets;User|M2 Focus Position;
User;Stop Field Stabilization;stops;"User;Field Stabilization";User Stop Field Stabilization;;User Stop Field Stabilization;
User;Calibrate Az axis;calibrates;"User;axis";User Calibrate Az axis;Calibrates;User|Az axis;
FSS Filter Wheel;Get FSS Filter Wheel;gets;"FSS Filter Wheel;nan";FSS Filter Wheel Get FSS Filter Wheel;Gets;FSS|Wheel|Wheel;Filter|FSS Filter
M2 Mirror;Do one M2 position setting;does;"M2 Mirror;M|position setting";M2 Mirror Do one M2 position setting;;M2|M2 position setting;Mirror
User;Stop Autoguiding;stops;"User;nan";User Stop Autoguiding;;User Stop Autoguiding;
Tracking Axis Drive;Stop Telescope Motion;stops;"Tracking Axis Drive;Telescope Motion";Tracking Axis Drive Stop Telescope Motion;;Tracking;Axis Drive Stop Telescope Motion
Catalogs;Probe to Next Guide Star;;Catalogs Probe to;Catalogs Probe to Next Guide Star;;Catalogs;Guide Star
User;Stop VLTI Focus Adjustment;stops;"User;VLTI Focus Adjustment";User Stop VLTI Focus Adjustment;;User Stop;VLTI Focus Adjustment
User;Install POM;instals;"User;nan";User Install POM;Installs;User|POM;
User;Set Reference Temperature;sets;"User;Reference Temperature";User Set Reference Temperature;Sets;User;Reference Temperature
M10 Mirror;Set M10 Tilt Angles;sets;"M10 Mirror;Tilt Angles";M10 Mirror Set M10 Tilt Angles;Sets|Tilts;M10|M10|Angles;Mirror
User;Modify POM term;modifies;"User;POM term";User Modify POM term;Modifies;User|POM term;
ASM;Monitor Environmental data;monitors;"ASM;Environmental data";ASM Monitor Environmental data;;ASM|data;Monitor Environmental
User;Get Enclosure Temperature;gets;"User;Enclosure Temperature";User Get Enclosure Temperature;Gets;User;Enclosure Temperature
User;Set Tracking Wavelength;sets;"User;Tracking Wavelength";User Set Tracking Wavelength;Sets;User;Tracking Wavelength
TRS;Control FS Corrections;;TRS Control FS Corrections;TRS Control FS Corrections;;;TRS Control FS Corrections
TRS;Stop Chopping;stops;"TRS;Chopping";TRS Stop Chopping;;TRS|Chopping;
User;Switch On/Off Nasmyth Beacon Light Source;switches on;"User;Beacon Light Source";User Switch On/Off Nasmyth Beacon Light Source;Switches;User;Nasmyth Beacon Light Source
TRS;Monitor Environmental data;monitors;"TRS;Environmental data";TRS Monitor Environmental data;;data;TRS Monitor Environmental
FSS STRAP;Set FSS Filter Wheel;sets;"FSS STRAP;FSS Filter Wheel";FSS STRAP Set FSS Filter Wheel;Sets;FSS|FSS|Wheel;Filter
Tracking Axis Drive;Offset Alt/Az;off sets;"Tracking Axis Drive;Alt/Az";Tracking Axis Drive Offset Alt/Az;;Tracking;Axis Drive Offset Alt/Az
FSS STRAP;Stop FSS Acquisition;stops;"FSS STRAP;FSS Acquisition";FSS STRAP Stop FSS Acquisition;;FSS|Stop;FSS Acquisition
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;sets;"Nasmyth Beacon Light Sources;Level";Nasmyth Beacon Light Sources Set Nasmyth Beacon Light Level;Sets;Sources;Nasmyth Beacon Light|Nasmyth Beacon Light Level
User;Set FSS Field Diaphragm;sets;"User;Field Diaphragm";User Set FSS Field Diaphragm;Sets;User;FSS Field Diaphragm
User;Preset Telescope to Astronomical Coordinates;presets;"User;Telescope|Astronomical Coordinates";User Preset Telescope to Astronomical Coordinates;;User;Preset Telescope|Astronomical
User;Prepare FAS Setup;prepares;"User;FAS Setup";User Prepare FAS Setup;Prepares;User;FAS Setup
User;Control FS Corrections;controls;"User;FS Corrections";User Control FS Corrections;;User Control FS Corrections;
User;Preset Telescope in Alt/Az Coordinates;presets;"User;Telescope in Alt/Az Coordinates";User Preset Telescope in Alt/Az Coordinates;;User;Preset Telescope|Alt/Az
FSS STRAP;Send FSS Setup;sends;"FSS STRAP;FSS Setup";FSS STRAP Send FSS Setup;Sends;FSS;FSS Setup
User;Do one calibrated correction;does;"User;correction";User Do one calibrated correction;;User|correction;
User;Close Enclosure;closes;"User;Enclosure";User Close Enclosure;;User Close Enclosure;
User;Offset Alt/Az;off sets;"User;Alt/Az";User Offset Alt/Az;;User;Offset Alt/Az
M6 Mirror;Set M6 Tilt Angles;sets;"M6 Mirror;M6 Tilt Angles";M6 Mirror Set M6 Tilt Angles;Sets|Tilts;M6|Angles;M6 Mirror
User;Check Status Air Conditioning;checks;"User;Status Air Conditioning";User Check Status Air Conditioning;Checks;User;Status Air Conditioning
FSS STRAP;Start FSS Acquisition;starts;"FSS STRAP;Acquisition";FSS STRAP Start FSS Acquisition;;FSS;Start FSS Acquisition
M6 Mirror;Monitor Power Status;monitors;"M6 Mirror;Power Status";M6 Mirror Monitor Power Status;;;M6 Mirror Monitor Power Status
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;presets;"Tracking Axis Drive;Telescope in Alt/Az Coordinates";Tracking Axis Drive Preset Telescope in Alt/Az Coordinates;;Tracking;Axis Drive Preset Telescope|Alt/Az
TRS;Start Autoguiding;starts;"TRS;Autoguiding";TRS Start Autoguiding;;TRS;Start Autoguiding
