Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;Enclosure;Opens;;Enclosure
Liquid Cooling Module;Monitor LCM Status;monitors;Status;Monitors;;LCM Status
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;Sets;;Reference Temperature
User;Get M10 Tilt Angles;gets;M10 Tilt Angles;Gets|Tilts;M10|Angles;
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage;;Preset FSS Translation Stage;
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles;Sets|Tilts;M2|Angles;
FAS TCCD;Send FAS Setup;sends;Setup;Sends;;FAS Setup
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment;Prepares for;;VLTI Focus Adjustment
TRS;Monitor Temperature data;monitors;Temperature data;Monitors;data;Temperature
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;;;Telescope|Catalogue Object
User;Stop Pupil Alignment;stops;Pupil Alignment;Stops;Alignment;Pupil
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon;;;Offset Guide Probe|Beacon
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position;Sets;M2 Focus Position;
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles;Gets|Tilts;M6|Angles;
M6 Mirror;Calibrate Az axis;calibrates;axis;Calibrates;axis;Az
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit;Sets;Remaining Tracking;Time Limit
FSS STRAP;Do one star analysis;does;star analysis;Dos;star analysis;
TRS;Monitor LCM Status;monitors;Status;Monitors;;LCM Status
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature;Gets;;Enclosure Temperature
User;Get Tracking Remaining Time;gets;Tracking Remaining Time;Gets;Remaining;Tracking|Time
User;Stop Chopping;stops;Chopping;Stops;;Chopping
Power Module;Monitor Power Status;monitors;Power Status;;;Monitor Power Status
User;Stop Image Alignment;stops;Image Alignment;Stops;Image Alignment;
User;Do one star analysis;does;star analysis;Dos;star analysis;
User;Stop FAS Acquisition;stops;FAS Acquisition;Stops;;FAS Acquisition
User;Check STRAP Pupil Alignment;checks;STRAP Pupil Alignment;Checks;Alignment;STRAP Pupil
User;Set M2 Pupil Beacon Light Level;sets;M2 Pupil Beacon Light Level;Sets;M2 Pupil;Beacon Light Level
Air Conditioning;Set Reference Temperature;sets;Reference Temperature;Sets;;Reference Temperature
User;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;Calibrates;M6|Sensors;Coude
TRS;Monitor HPS Status;monitors;HPS Status;Monitors;;HPS Status
User;Get M2 Focus Position;gets;M2 Focus Position;Gets;M2 Focus Position;
User;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;Sets;;Nasmyth Beacon Light Level
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;Sets;;Nasmyth Beacon Light Level
User;Stop Telescope Motion;stops;Telescope Motion;Stops;;Telescope Motion
User;Start cyclic calibrated corrections;starts;corrections;;corrections;Start
DewPoint Sensor;Set Dew Point Margin;sets;Dew Point Margin;Sets;Margin;Dew Point
TRS;Monitor Cooling Flow;monitors;Cooling Flow;Monitors;Flow;Cooling
Probe;Preset FSS Translation Stage;presets;FSS Translation Stage;;Preset FSS Translation Stage;
User;Display Guide Detector Signals;displays;Guide Detector Signals;Displays;Signals;Guide Detector
User;Get M2 Tilt Angles;gets;M2 Tilt Angles;Gets|Tilts;M2|Angles;
ASM;Close Enclosure On Bad Meteo Conditions;closes;Enclosure On Bad Meteo Conditions;;Close Enclosure|Conditions;Meteo
Air Conditioning;Check Status Air Conditioning;checks;Status Air Conditioning;Checks;;Status Air Conditioning
TRS;Monitor Power Status;monitors;Power Status;;;Monitor Power Status
User;Get Guide Star Data;gets;Guide Star Data;Gets;;Guide Star Data
Nasmyth Wheel;Set Nasmyth Wheel;sets;Nasmyth Wheel;Sets;Wheel;Nasmyth
M2 Mirror;Get M2 Center Position;gets;M2 Center Position;Gets;M2|Position;Center
User;Set Guide Parameters;sets;Guide Parameters;Sets;;Guide Parameters
User;Prepare for Delay Constant Alignment;prepares for;Delay Constant Alignment;Prepares for;Constant Alignment;Delay
TRS;Monitor Telescope Temperature;monitors;Telescope Temperature;Monitors;;Telescope Temperature
User;Set Guide Window Size;sets;Guide Window Size;Sets;Size;Guide Window
User;Center M10;centers;M10;;M10;Center
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;Beam Switching Device;Sets;Switching Device;Coude Beam
Telescope Temperature Sensors;Monitor Temperature data;monitors;Temperature data;Monitors;data;Temperature
User;Stop Air Conditioning;stops;Air Conditioning;;;Stop Air Conditioning
User;Get M6 Tilt Angles;gets;Tilt Angles;Gets|Tilts;M6|Angles;
User;Start Chopping;starts;Chopping;;;Start Chopping
User;Check Status Enclosure;checks;Status Enclosure;Checks;;Status Enclosure
FSS STRAP;Optimize Field Stabilisation;optimizes;Field Stabilisation;Optimizes;;Field Stabilisation
Azimuth Drive;Calibrate Az axis;calibrates;axis;Calibrates;axis;Az
DewPoint Sensor;Monitor Environmental data;monitors;Environmental data;Monitors;data;Environmental
Air Conditioning;Monitor Telescope Temperature;monitors;Telescope Temperature;Monitors;;Telescope Temperature
User;Power On FAS;powers on;FAS;;Power On FAS;
FAS TCCD;Calibrate Az axis;calibrates;axis;Calibrates;axis;Az
M2 Mirror;Get M2 Focus Position;gets;M2 Focus Position;Gets;M2 Focus Position;
User;Adjust Pointing Axis Reference Points;adjusts pointing;Axis Reference Points;Adjusts;Pointing;Axis Reference Points
User;Set M6 Tilt Angles;sets;M6 Tilt Angles;Sets|Tilts;M6|Angles;
User;Make Pointing Error Measurement;makes pointing;Error Measurement;;;Make Pointing Error Measurement
TRS;Power On/Off M6;powers on;M6;;;Power On/Off M6
Tracking Axis Drive;Preset Telescope;presets;Telescope;;;Telescope
FSS Field Diaphragm;Set FSS Field Diaphragm;sets;FSS Field Diaphragm;Sets;;FSS Field Diaphragm
TRS;Stop Autoguiding;stops;Autoguiding;Stops;;Autoguiding
User;Probe to Next Guide Star;probes to;Next Guide Star;;Probe;Guide Star
FAS TCCD;Power On FAS;powers on;FAS;;Power On FAS;
User;Set M2 Tilt Angles;sets;M2 Tilt Angles;Sets|Tilts;M2|Angles;
User;Offset Guide Probe on star;off sets;Guide Probe on star;;star;Offset Guide Probe
User;Get M2 Center Position;gets;M2 Center Position;Gets;M2|Position;Center
M6 Mirror;Center M6;centers;M6;;M6;Center
User;Cyclic closed loop active optics corrections;;Cyclic closed loop active optics corrections;;Cyclic closed loop active optics corrections;
Enclosure;Close Enclosure;closes;Enclosure;;Close Enclosure;
M10 Mirror;Center M10;centers;M10;;M10;Center
M6 Mirror;Monitor M6 Status;monitors;M6 Status;Monitors;;M6 Status
Tracking Axis Drive;Preset Telescope to Named Position;presets;Telescope|Named Position;;Position;Telescope
TRS;Monitor M6 Status;monitors;M6 Status;Monitors;;M6 Status
User;Prepare for Pupil Alignment;prepares for;Pupil Alignment;Prepares for;Alignment;Pupil
TRS;Monitor Cabinet Cooling;monitors;Cabinet Cooling;Monitors;;Cabinet Cooling
User;Measure and Install POM;instals;Measure|POM;Installs;Measure|POM;
TRS;Get Tracking Remaining Time;gets;Tracking|Time;Gets;Remaining;Tracking|Time
FSS Filter Wheel;Set FSS Filter Wheel;sets;;Sets;FSS|Wheel;Filter
User;Adjust Coude Focus;adjusts;Focus;Adjusts;;Coude Focus
Altitude Cabinet;Monitor Cabinet Cooling;monitors;Cabinet Cooling;Monitors;;Cabinet Cooling
User;Combined Offset;combines;Offset;;;Offset
Transporter;Check Status Anchors;checks;Status Anchors;Checks;;Status Anchors
