Subject;Activity;Verb phrases;Noun phrases;Activity Combined;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;"User;Enclosure";User Open Enclosure;;;User Open Enclosure
Liquid Cooling Module;Monitor LCM Status;monitors;"Liquid Cooling Module;Status";Liquid Cooling Module Monitor LCM Status;;Liquid Cooling Module Monitor LCM Status;
TRS;Periodic Set Reference Temperature;;TRS Periodic Set Reference Temperature;TRS Periodic Set Reference Temperature;Sets;Reference Temperature;TRS Periodic
User;Get M10 Tilt Angles;gets;"User;M10 Tilt Angles";User Get M10 Tilt Angles;Gets;User|M10 Tilt Angles;
Translation Stage Drive;Preset FSS Translation Stage;presets;"Translation Stage Drive;FSS Translation Stage";Translation Stage Drive Preset FSS Translation Stage;Drives;Translation Stage|Preset FSS Translation Stage;
M2 Mirror;Set M2 Tilt Angles;sets;"M2 Mirror;M2 Tilt Angles";M2 Mirror Set M2 Tilt Angles;Sets;Mirror|M2 Tilt Angles;
FAS TCCD;Send FAS Setup;sends;"FAS TCCD;Setup";FAS TCCD Send FAS Setup;Sends;Setup;FAS TCCD|FAS
User;Prepare for VLTI Focus Adjustment;prepares for;"User;VLTI Focus Adjustment";User Prepare for VLTI Focus Adjustment;Prepares for;User;VLTI Focus Adjustment
TRS;Monitor Temperature data;monitors;"TRS;Temperature data";TRS Monitor Temperature data;;Monitor Temperature data;TRS
Catalogs;Preset Telescope to Catalogue Object;presets;"Catalogs;Telescope|Catalogue Object";Catalogs Preset Telescope to Catalogue Object;Presets|Catalogues;Catalogs|Telescope|Object;
User;Stop Pupil Alignment;stops;"User;Pupil Alignment";User Stop Pupil Alignment;Stops;User|Pupil Alignment;
User;Offset Guide Probe on Beacon;off sets;"User;Guide Probe on Beacon";User Offset Guide Probe on Beacon;;User Offset Guide Probe;Beacon
M2 Mirror;Set M2 Focus Position;sets;"M2 Mirror;M2 Focus Position";M2 Mirror Set M2 Focus Position;Sets;Mirror|M2 Focus Position;
M6 Mirror;Get M6 Tilt Angles;gets;"M6 Mirror;Tilt Angles";M6 Mirror Get M6 Tilt Angles;Gets;M6 Tilt Angles;M6 Mirror
M6 Mirror;Calibrate Az axis;calibrates;"M6 Mirror;axis";M6 Mirror Calibrate Az axis;Calibrates;Az axis;M6 Mirror
User;Set Remaining Tracking Time Limit;sets;"User;Remaining Tracking Time Limit";User Set Remaining Tracking Time Limit;Sets;User|Remaining Tracking Time Limit;
FSS STRAP;Do one star analysis;does;"FSS STRAP;star analysis";FSS STRAP Do one star analysis;Dos;star analysis;FSS STRAP
