Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;Enclosure;;Open Enclosure;
Liquid Cooling Module;Monitor LCM Status;monitors;Status;;Monitor LCM Status;
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;
User;Get M10 Tilt Angles;gets;M10 Tilt Angles;Gets;M10 Tilt Angles;
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage;;Preset FSS Translation Stage;
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles;Sets;M2 Tilt Angles;
FAS TCCD;Send FAS Setup;sends;Setup;Sends;FAS Setup;
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment;Prepares for;VLTI Focus Adjustment;
TRS;Monitor Temperature data;monitors;Temperature data;;Monitor Temperature data;
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;;Preset Telescope to Catalogue Object;
User;Stop Pupil Alignment;stops;Pupil Alignment;Stops;Pupil Alignment;
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon;Offsets;Guide Probe on Beacon;
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position;Sets;M2 Focus Position;
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles;Gets;M6 Tilt Angles;
M6 Mirror;Calibrate Az axis;calibrates;axis;Calibrates;Az axis;
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit;Sets Remaining;Tracking Time Limit;
FSS STRAP;Do one star analysis;does;star analysis;Dos;star analysis;
TRS;Monitor LCM Status;monitors;Status;;Monitor LCM Status;
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature;Gets;Enclosure Temperature;
User;Get Tracking Remaining Time;gets;Tracking Remaining Time;Gets|Remainings;Tracking|Time;
User;Stop Chopping;stops;Chopping;Stops;Chopping;
Power Module;Monitor Power Status;monitors;Power Status;;Monitor Power Status;
User;Stop Image Alignment;stops;Image Alignment;Stops;Image Alignment;
User;Do one star analysis;does;star analysis;Dos;star analysis;
User;Stop FAS Acquisition;stops;FAS Acquisition;Stops;FAS Acquisition;
User;Check STRAP Pupil Alignment;checks;STRAP Pupil Alignment;Checks;STRAP Pupil Alignment;
User;Set M2 Pupil Beacon Light Level;sets;M2 Pupil Beacon Light Level;Sets;M2 Pupil Beacon Light Level;
Air Conditioning;Set Reference Temperature;sets;Reference Temperature;Sets;Reference Temperature;
User;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;Calibrates;M6 versus Coude Sensors;
TRS;Monitor HPS Status;monitors;HPS Status;;Monitor HPS Status;
User;Get M2 Focus Position;gets;M2 Focus Position;Gets;M2 Focus Position;
User;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;Sets;Nasmyth Beacon Light Level;
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;Sets;Nasmyth Beacon Light Level;
User;Stop Telescope Motion;stops;Telescope Motion;Stops;Telescope Motion;
User;Start cyclic calibrated corrections;starts;corrections;Starts|calibrates;cyclic|corrections;
DewPoint Sensor;Set Dew Point Margin;sets;Dew Point Margin;Sets;Dew Point Margin;
TRS;Monitor Cooling Flow;monitors;Cooling Flow;Coolings;Monitor|Flow;
Probe;Preset FSS Translation Stage;presets;FSS Translation Stage;;Preset FSS Translation Stage;
User;Display Guide Detector Signals;displays;Guide Detector Signals;;Display Guide Detector Signals;
User;Get M2 Tilt Angles;gets;M2 Tilt Angles;Gets;M2 Tilt Angles;
ASM;Close Enclosure On Bad Meteo Conditions;closes;Enclosure On Bad Meteo Conditions;;Close Enclosure On Bad Meteo Conditions;
Air Conditioning;Check Status Air Conditioning;checks;Status Air Conditioning;Checks;Status Air Conditioning;
TRS;Monitor Power Status;monitors;Power Status;;Monitor Power Status;
User;Get Guide Star Data;gets;Guide Star Data;Gets;Guide Star Data;
Nasmyth Wheel;Set Nasmyth Wheel;sets;Nasmyth Wheel;Sets;Nasmyth Wheel;
M2 Mirror;Get M2 Center Position;gets;M2 Center Position;Gets;M2 Center Position;
User;Set Guide Parameters;sets;Guide Parameters;Sets;Guide Parameters;
User;Prepare for Delay Constant Alignment;prepares for;Delay Constant Alignment;Prepares for;Delay Constant Alignment;
TRS;Monitor Telescope Temperature;monitors;Telescope Temperature;;Monitor Telescope Temperature;
User;Set Guide Window Size;sets;Guide Window Size;Sets;Guide Window Size;
User;Center M10;centers;M10;;Center M10;
