Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;Enclosure;;;
Liquid Cooling Module;Monitor LCM Status;monitors;Status;Monitors;Status;
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;Sets;Reference;
User;Get M10 Tilt Angles;gets;M10 Tilt Angles;Gets;M 10;
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage;;Translation Stage;
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles;Sets;;
FAS TCCD;Send FAS Setup;sends;Setup;Sends;;
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment;;Focus;
TRS;Monitor Temperature data;monitors;Temperature data;Monitors;data;
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;;Object;
User;Stop Pupil Alignment;stops;Pupil Alignment;Stops;;
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon;;Guide;
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position;Sets;M|Focus Position;
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles;Gets;M 6;
M6 Mirror;Calibrate Az axis;calibrates;axis;;Az;
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit;Sets;Time Limit;
FSS STRAP;Do one star analysis;does;star analysis;Dos;star analysis;
TRS;Monitor LCM Status;monitors;Status;Monitors;Status;
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature;Gets;;
User;Get Tracking Remaining Time;gets;Tracking Remaining Time;Gets;Time;
User;Stop Chopping;stops;Chopping;Stops;;
Power Module;Monitor Power Status;monitors;Power Status;Monitors;Power Status;
User;Stop Image Alignment;stops;Image Alignment;Stops;Image;
User;Do one star analysis;does;star analysis;Dos;star analysis;
User;Stop FAS Acquisition;stops;FAS Acquisition;Stops;;
User;Check STRAP Pupil Alignment;checks;STRAP Pupil Alignment;Checks;;
User;Set M2 Pupil Beacon Light Level;sets;M2 Pupil Beacon Light Level;Sets;M|Light Level;
Air Conditioning;Set Reference Temperature;sets;Reference Temperature;Sets;Reference;
User;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;;M;
TRS;Monitor HPS Status;monitors;HPS Status;Monitors;Status;
User;Get M2 Focus Position;gets;M2 Focus Position;Gets;M 2 Focus Position;
User;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;Sets;Light Level;
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;Sets;Light Level;
User;Stop Telescope Motion;stops;Telescope Motion;Stops;Motion;
User;Start cyclic calibrated corrections;starts;corrections;Starts;;
