Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;Enclosure;;open enclosure;
Liquid Cooling Module;Monitor LCM Status;monitors;Status;monitor;lcm status;
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;;periodic set reference temperature;
User;Get M10 Tilt Angles;gets;M10 Tilt Angles;get;tilt angles;
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage;##set;fss translation stage;
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles;set;tilt angles;
FAS TCCD;Send FAS Setup;sends;Setup;send;fas setup;
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment;prepare for;vlti focus adjustment;
TRS;Monitor Temperature data;monitors;Temperature data;monitor;temperature data;
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;catalogue;preset telescope to|object;
User;Stop Pupil Alignment;stops;Pupil Alignment;stop;pupil alignment;
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon;;offset guide probe on beacon;
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position;set;m2 focus position;
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles;get;m6 tilt angles;
M6 Mirror;Calibrate Az axis;calibrates;axis;;calibrate az axis;
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit;set remaining;tracking time limit;
FSS STRAP;Do one star analysis;does;star analysis;do;star analysis;
TRS;Monitor LCM Status;monitors;Status;monitor;lcm status;
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature;get;enclosure temperature;
User;Get Tracking Remaining Time;gets;Tracking Remaining Time;get|remaining;tracking|time;
User;Stop Chopping;stops;Chopping;stop chopping;;
Power Module;Monitor Power Status;monitors;Power Status;monitor;power status;
User;Stop Image Alignment;stops;Image Alignment;stop;image alignment;
User;Do one star analysis;does;star analysis;do;star analysis;
User;Stop FAS Acquisition;stops;FAS Acquisition;stop;fas acquisition;
User;Check STRAP Pupil Alignment;checks;STRAP Pupil Alignment;check;strap pupil alignment;
User;Set M2 Pupil Beacon Light Level;sets;M2 Pupil Beacon Light Level;set;pupil beacon light level;
Air Conditioning;Set Reference Temperature;sets;Reference Temperature;set;reference temperature;
User;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;;calibrate m6 versus coude sensors;
TRS;Monitor HPS Status;monitors;HPS Status;monitor;hps status;
User;Get M2 Focus Position;gets;M2 Focus Position;get;m2 focus position;
User;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;set;nasmyth beacon light level;
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;set;nasmyth beacon light level;
User;Stop Telescope Motion;stops;Telescope Motion;stop;telescope motion;
User;Start cyclic calibrated corrections;starts;corrections;start|calibrated;corrections;
DewPoint Sensor;Set Dew Point Margin;sets;Dew Point Margin;set;dew point margin;
TRS;Monitor Cooling Flow;monitors;Cooling Flow;monitor;cooling flow;
Probe;Preset FSS Translation Stage;presets;FSS Translation Stage;##set;fss translation stage;
User;Display Guide Detector Signals;displays;Guide Detector Signals;;display guide detector signals;
User;Get M2 Tilt Angles;gets;M2 Tilt Angles;get;tilt angles;
ASM;Close Enclosure On Bad Meteo Conditions;closes;Enclosure On Bad Meteo Conditions;;close enclosure on bad meteo conditions;
Air Conditioning;Check Status Air Conditioning;checks;Status Air Conditioning;check;status air conditioning;
TRS;Monitor Power Status;monitors;Power Status;monitor;power status;
User;Get Guide Star Data;gets;Guide Star Data;get;guide star data;
Nasmyth Wheel;Set Nasmyth Wheel;sets;Nasmyth Wheel;set;nasmyth wheel;
M2 Mirror;Get M2 Center Position;gets;M2 Center Position;get;m2 center position;
User;Set Guide Parameters;sets;Guide Parameters;set;guide parameters;
User;Prepare for Delay Constant Alignment;prepares for;Delay Constant Alignment;prepare for;delay constant alignment;
TRS;Monitor Telescope Temperature;monitors;Telescope Temperature;monitor;telescope temperature;
User;Set Guide Window Size;sets;Guide Window Size;;set guide window size;
User;Center M10;centers;M10;;center m10;
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;Beam Switching Device;set;coude beam switching device;
Telescope Temperature Sensors;Monitor Temperature data;monitors;Temperature data;monitor;temperature data;
User;Stop Air Conditioning;stops;Air Conditioning;stop;air conditioning;
User;Get M6 Tilt Angles;gets;Tilt Angles;get;m6 tilt angles;
User;Start Chopping;starts;Chopping;start|##ping;chop;
User;Check Status Enclosure;checks;Status Enclosure;check;status enclosure;
