Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;Enclosure;;;
Liquid Cooling Module;Monitor LCM Status;monitors;Status;;;Monitor LCM
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;;;Set Reference
User;Get M10 Tilt Angles;gets;M10 Tilt Angles;;;M10 Tilt
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage;;;FSS Translation
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles;;;M2 Tilt
FAS TCCD;Send FAS Setup;sends;Setup;;;Send FAS
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment;;;VLTI Focus
TRS;Monitor Temperature data;monitors;Temperature data;;data;Monitor Temperature
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;Telescope to;;Catalogue
User;Stop Pupil Alignment;stops;Pupil Alignment;;;Stop Pupil
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon;Probe on;;
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position;;;M2 Focus
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles;;;M6 Tilt
M6 Mirror;Calibrate Az axis;calibrates;axis;;;Calibrate Az
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit;;;Remaining Tracking Time
FSS STRAP;Do one star analysis;does;star analysis;;star analysis;
TRS;Monitor LCM Status;monitors;Status;;;Monitor LCM
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature;;;Get Enclosure
User;Get Tracking Remaining Time;gets;Tracking Remaining Time;;;Tracking Remaining
User;Stop Chopping;stops;Chopping;;;
Power Module;Monitor Power Status;monitors;Power Status;;;Monitor Power
User;Stop Image Alignment;stops;Image Alignment;;;Stop Image
User;Do one star analysis;does;star analysis;;star analysis;
User;Stop FAS Acquisition;stops;FAS Acquisition;;;Stop FAS
User;Check STRAP Pupil Alignment;checks;STRAP Pupil Alignment;;;STRAP Pupil
User;Set M2 Pupil Beacon Light Level;sets;M2 Pupil Beacon Light Level;;;M2 Pupil Beacon Light
Air Conditioning;Set Reference Temperature;sets;Reference Temperature;;;Set Reference
User;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;;;M6|Coude
TRS;Monitor HPS Status;monitors;HPS Status;;;Monitor HPS
User;Get M2 Focus Position;gets;M2 Focus Position;;;M2 Focus
User;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;;;Nasmyth Beacon Light
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;;;Nasmyth Beacon Light
User;Stop Telescope Motion;stops;Telescope Motion;;;Stop Telescope
User;Start cyclic calibrated corrections;starts;corrections;;cyclic calibrated corrections;
DewPoint Sensor;Set Dew Point Margin;sets;Dew Point Margin;;;Dew Point
