Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;Enclosure;;Enclosure;
Liquid Cooling Module;Monitor LCM Status;monitors;Status;Monitor;LCM Status;
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;Reference;Set|Temperature;Periodic
User;Get M10 Tilt Angles;gets;M10 Tilt Angles;;;M10 Tilt Angles
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage;Translation;Stage;Preset FSS
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles;Set;;M2 Tilt Angles
FAS TCCD;Send FAS Setup;sends;Setup;;;FAS Setup
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment;;Adjustment;Prepare|VLTI Focus
TRS;Monitor Temperature data;monitors;Temperature data;Monitor Temperature;;
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;Object;Catalogue;Preset Telescope
User;Stop Pupil Alignment;stops;Pupil Alignment;Stop;Pupil Alignment;
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon;Offset;Guide Probe on Beacon;
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position;Set;M2 Focus Position;
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles;;;M6 Tilt Angles
M6 Mirror;Calibrate Az axis;calibrates;axis;axis;;Calibrate
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit;Set;Time Limit;Remaining Tracking
FSS STRAP;Do one star analysis;does;star analysis;Do|star;analysis;
TRS;Monitor LCM Status;monitors;Status;Monitor;LCM Status;
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature;;Temperature;Get Enclosure
User;Get Tracking Remaining Time;gets;Tracking Remaining Time;;;Tracking Remaining Time
User;Stop Chopping;stops;Chopping;Stop;Chopping;
Power Module;Monitor Power Status;monitors;Power Status;Monitor;Power Status;
User;Stop Image Alignment;stops;Image Alignment;Stop;Image Alignment;
User;Do one star analysis;does;star analysis;Do|star;analysis;
User;Stop FAS Acquisition;stops;FAS Acquisition;Stop;FAS Acquisition;
User;Check STRAP Pupil Alignment;checks;STRAP Pupil Alignment;Check;;STRAP Pupil Alignment
User;Set M2 Pupil Beacon Light Level;sets;M2 Pupil Beacon Light Level;Set|Level;Light;M2 Pupil Beacon
Air Conditioning;Set Reference Temperature;sets;Reference Temperature;Set;Reference Temperature;
User;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;;;Calibrate M6 versus Coude Sensors
TRS;Monitor HPS Status;monitors;HPS Status;Monitor;HPS Status;
User;Get M2 Focus Position;gets;M2 Focus Position;;Focus Position;Get M2
User;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;Set|Level;Light;Nasmyth Beacon
Nasmyth Wheel;Set Nasmyth Beacon Light Level;sets;Nasmyth Beacon Light Level;Set|Level;Light;Nasmyth Beacon
User;Stop Telescope Motion;stops;Telescope Motion;Stop;Telescope;Motion
User;Start cyclic calibrated corrections;starts;corrections;Start;;cyclic calibrated corrections
DewPoint Sensor;Set Dew Point Margin;sets;Dew Point Margin;Set;Point Margin;Dew
TRS;Monitor Cooling Flow;monitors;Cooling Flow;Monitor;Flow;Cooling
Probe;Preset FSS Translation Stage;presets;FSS Translation Stage;Translation;Stage;Preset FSS
User;Display Guide Detector Signals;displays;Guide Detector Signals;;;Guide Detector Signals
User;Get M2 Tilt Angles;gets;M2 Tilt Angles;;;M2 Tilt Angles
ASM;Close Enclosure On Bad Meteo Conditions;closes;Enclosure On Bad Meteo Conditions;;Bad|Conditions;Enclosure|Meteo
Air Conditioning;Check Status Air Conditioning;checks;Status Air Conditioning;Check;Status Air Conditioning;
TRS;Monitor Power Status;monitors;Power Status;Monitor;Power Status;
User;Get Guide Star Data;gets;Guide Star Data;;Star Data;Get Guide
Nasmyth Wheel;Set Nasmyth Wheel;sets;Nasmyth Wheel;Set;Nasmyth Wheel;
M2 Mirror;Get M2 Center Position;gets;M2 Center Position;;Position;Get M2
User;Set Guide Parameters;sets;Guide Parameters;Set;;
User;Prepare for Delay Constant Alignment;prepares for;Delay Constant Alignment;;Alignment;Prepare|Delay Constant
TRS;Monitor Telescope Temperature;monitors;Telescope Temperature;Monitor;Telescope Temperature;
User;Set Guide Window Size;sets;Guide Window Size;Set;Guide Window Size;
User;Center M10;centers;M10;;;M10
Coude Beam Switching Device;Set Coude Beam Switching Device;sets;Beam Switching Device;Set;;Coude Beam Switching Device
Telescope Temperature Sensors;Monitor Temperature data;monitors;Temperature data;Monitor Temperature;;
User;Stop Air Conditioning;stops;Air Conditioning;Stop;Air Conditioning;
User;Get M6 Tilt Angles;gets;Tilt Angles;;;M6 Tilt Angles
User;Start Chopping;starts;Chopping;Start;Chopping;
User;Check Status Enclosure;checks;Status Enclosure;Check;Status Enclosure;
FSS STRAP;Optimize Field Stabilisation;optimizes;Field Stabilisation;;;Optimize|Stabilisation
Azimuth Drive;Calibrate Az axis;calibrates;axis;axis;;Calibrate
DewPoint Sensor;Monitor Environmental data;monitors;Environmental data;Monitor;;
Air Conditioning;Monitor Telescope Temperature;monitors;Telescope Temperature;Monitor;Telescope Temperature;
User;Power On FAS;powers on;FAS;;On FAS;
FAS TCCD;Calibrate Az axis;calibrates;axis;axis;;Calibrate
M2 Mirror;Get M2 Focus Position;gets;M2 Focus Position;;Focus Position;Get M2
User;Adjust Pointing Axis Reference Points;adjusts pointing;Axis Reference Points;;Reference;Pointing Axis
User;Set M6 Tilt Angles;sets;M6 Tilt Angles;Set;;M6 Tilt Angles
User;Make Pointing Error Measurement;makes pointing;Error Measurement;;;Pointing|Measurement
TRS;Power On/Off M6;powers on;M6;Power On;/ Off M6;
Tracking Axis Drive;Preset Telescope;presets;Telescope;;;Preset Telescope
FSS Field Diaphragm;Set FSS Field Diaphragm;sets;FSS Field Diaphragm;Set;Diaphragm;FSS
TRS;Stop Autoguiding;stops;Autoguiding;Stop;Autoguiding;
User;Probe to Next Guide Star;probes to;Next Guide Star;Guide;Next|Star;Probe
FAS TCCD;Power On FAS;powers on;FAS;;On FAS;
User;Set M2 Tilt Angles;sets;M2 Tilt Angles;Set;;M2 Tilt Angles
User;Offset Guide Probe on star;off sets;Guide Probe on star;Offset;Guide Probe on star;
User;Get M2 Center Position;gets;M2 Center Position;;Position;Get M2
M6 Mirror;Center M6;centers;M6;;;M6
User;Cyclic closed loop active optics corrections;;Cyclic closed loop active optics corrections;;closed;Cyclic|optics corrections
Enclosure;Close Enclosure;closes;Enclosure;;Enclosure;
M10 Mirror;Center M10;centers;M10;;;M10
M6 Mirror;Monitor M6 Status;monitors;M6 Status;Monitor;M6 Status;
Tracking Axis Drive;Preset Telescope to Named Position;presets;Telescope|Named Position;Position;Named;Preset Telescope
TRS;Monitor M6 Status;monitors;M6 Status;Monitor;M6 Status;
User;Prepare for Pupil Alignment;prepares for;Pupil Alignment;;Alignment;Prepare|Pupil
TRS;Monitor Cabinet Cooling;monitors;Cabinet Cooling;Monitor;;Cabinet Cooling
User;Measure and Install POM;instals;Measure|POM;;Install POM;
TRS;Get Tracking Remaining Time;gets;Tracking|Time;;;Tracking Remaining Time
FSS Filter Wheel;Set FSS Filter Wheel;sets;;Set;Filter Wheel;FSS
User;Adjust Coude Focus;adjusts;Focus;;;Coude
Altitude Cabinet;Monitor Cabinet Cooling;monitors;Cabinet Cooling;Monitor;;Cabinet Cooling
User;Combined Offset;combines;Offset;Offset;;Combined
Transporter;Check Status Anchors;checks;Status Anchors;Check;Status Anchors;
User;Set M10 Tilt Angles;sets;Tilt Angles;Set;;M10 Tilt Angles
User;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors;;Temperature Sensors;Telescope
User;Set M2 Focus Position;sets;M2 Focus Position;Set;M2 Focus Position;
User;Stop Field Stabilization;stops;Field Stabilization;Stop Field;Stabilization;
User;Calibrate Az axis;calibrates;axis;axis;;Calibrate
FSS Filter Wheel;Get FSS Filter Wheel;gets;;;Wheel;Get FSS Filter
M2 Mirror;Do one M2 position setting;does;M|position setting;Do;position setting;M2
User;Stop Autoguiding;stops;;Stop;Autoguiding;
Tracking Axis Drive;Stop Telescope Motion;stops;Telescope Motion;Stop;Telescope;Motion
Catalogs;Probe to Next Guide Star;;Probe to;Guide;Next|Star;Probe
User;Stop VLTI Focus Adjustment;stops;VLTI Focus Adjustment;Stop;Focus Adjustment;VLTI
User;Install POM;instals;;Install;POM;
User;Set Reference Temperature;sets;Reference Temperature;Set;Reference Temperature;
M10 Mirror;Set M10 Tilt Angles;sets;Tilt Angles;Set;;M10 Tilt Angles
User;Modify POM term;modifies;POM term;;term;Modify POM
ASM;Monitor Environmental data;monitors;Environmental data;Monitor;;
User;Get Enclosure Temperature;gets;Enclosure Temperature;;Temperature;Get Enclosure
User;Set Tracking Wavelength;sets;Tracking Wavelength;Set;;Tracking Wavelength
TRS;Control FS Corrections;;Control FS Corrections;;FS Corrections;
TRS;Stop Chopping;stops;Chopping;Stop;Chopping;
User;Switch On/Off Nasmyth Beacon Light Source;switches on;Beacon Light Source;Switch On;/ Off|Source;Nasmyth Beacon Light
TRS;Monitor Environmental data;monitors;Environmental data;Monitor;;
FSS STRAP;Set FSS Filter Wheel;sets;FSS Filter Wheel;Set;Filter Wheel;FSS
Tracking Axis Drive;Offset Alt/Az;off sets;Alt/Az;Offset;Alt / Az;
FSS STRAP;Stop FSS Acquisition;stops;FSS Acquisition;Stop;FSS Acquisition;
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;sets;Level;Set|Level;Light;Nasmyth Beacon
User;Set FSS Field Diaphragm;sets;Field Diaphragm;Set;Diaphragm;FSS
User;Preset Telescope to Astronomical Coordinates;presets;Telescope|Astronomical Coordinates;;Astronomical Coordinates;Preset Telescope
User;Prepare FAS Setup;prepares;FAS Setup;;;Prepare FAS Setup
User;Control FS Corrections;controls;FS Corrections;;FS Corrections;
User;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates;;/ Az Coordinates;Preset Telescope|Alt
FSS STRAP;Send FSS Setup;sends;FSS Setup;;;FSS Setup
User;Do one calibrated correction;does;correction;Do;correction;calibrated
User;Close Enclosure;closes;Enclosure;;Enclosure;
User;Offset Alt/Az;off sets;Alt/Az;Offset;Alt / Az;
M6 Mirror;Set M6 Tilt Angles;sets;M6 Tilt Angles;Set;;M6 Tilt Angles
User;Check Status Air Conditioning;checks;Status Air Conditioning;Check;Status Air Conditioning;
FSS STRAP;Start FSS Acquisition;starts;Acquisition;;;FSS Acquisition
M6 Mirror;Monitor Power Status;monitors;Power Status;Monitor;Power Status;
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;presets;Telescope in Alt/Az Coordinates;;/ Az Coordinates;Preset Telescope|Alt
TRS;Start Autoguiding;starts;Autoguiding;Start;Autoguiding;
ASM;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;Reference;Set|Temperature;Periodic
TRS;Start Field Stabilization;starts;Field Stabilization;Start Field;Stabilization;
M10 Mirror;Get M10 Tilt Angles;gets;Angles;;;M10 Tilt Angles
User;Save Guide Detector Image;saves;Guide Detector Image;;;Guide Detector
Air Conditioning;Monitor Temperature data;monitors;Temperature data;Monitor Temperature;;
User;Set M2 Center Position;sets;M2 Center Position;Set;M2 Center Position;
User;Telescope Offset;;Telescope Offset;Offset;;Telescope
FSS STRAP;Calibrate M6 versus Coude Sensors;calibrates;M6|Coude Sensors;;;Calibrate M6 versus Coude Sensors
Hydraulic & Pneumatic Systems;Monitor HPS Status;monitors;HPS Status;Monitor;HPS Status;
Telescope Temperature Sensors;Read Telescope Temperature Sensors;reads;Telescope Temperature Sensors;;Temperature Sensors;Telescope
User;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source;Switch On;/ Off|Source;Pupil Beacon Light
Enclosure;Open Enclosure;opens;Enclosure;;Enclosure;
User;Center Guide Star;centers;Guide Star;;Star;Guide
User;Prepare for Image Alignment;prepares for;Image Alignment;;Image Alignment;Prepare
User;Set Storage Mode for Pointing Measurements;sets;Storage Mode for Pointing Measurements;Set;Storage Mode for Pointing Measurements;
User;Configure Chopping;configures;Chopping;;;Configure Chopping
M2 Beacon;Switch On/Off Pupil Beacon Light Source;switches on;Pupil Beacon Light Source;Switch On;/ Off|Source;Pupil Beacon Light
User;Center Object;centers;Object;;Object;
M1 Temperature;Monitor Temperature data;monitors;Temperature data;Monitor Temperature;;
