Subject;Activity;Verb phrases;Noun phrases;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;opens;Enclosure;;Open Enclosure;
Liquid Cooling Module;Monitor LCM Status;monitors;Status;Monitors;LCM Status;
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;
User;Get M10 Tilt Angles;gets;M10 Tilt Angles;;Tilt Angles;
Translation Stage Drive;Preset FSS Translation Stage;presets;FSS Translation Stage;;Preset|Translation Stage;FSS
M2 Mirror;Set M2 Tilt Angles;sets;M2 Tilt Angles;;Tilt Angles;
FAS TCCD;Send FAS Setup;sends;Setup;Sends;FAS Setup;
User;Prepare for VLTI Focus Adjustment;prepares for;VLTI Focus Adjustment;Prepares for;Focus;VLTI|Adjustment
TRS;Monitor Temperature data;monitors;Temperature data;Monitors;Temperature data;
Catalogs;Preset Telescope to Catalogue Object;presets;Telescope|Catalogue Object;Catalogues;Telescope|Object;
User;Stop Pupil Alignment;stops;Pupil Alignment;Stops;Pupil Alignment;
User;Offset Guide Probe on Beacon;off sets;Guide Probe on Beacon;;Offset Guide Probe on Beacon;
M2 Mirror;Set M2 Focus Position;sets;M2 Focus Position;Sets;M2 Focus Position;
M6 Mirror;Get M6 Tilt Angles;gets;Tilt Angles;;Tilt Angles;M6
M6 Mirror;Calibrate Az axis;calibrates;axis;;;
User;Set Remaining Tracking Time Limit;sets;Remaining Tracking Time Limit;Sets;Remaining Tracking Time Limit;
FSS STRAP;Do one star analysis;does;star analysis;;star analysis;
TRS;Monitor LCM Status;monitors;Status;Monitors;LCM Status;
Air Conditioning;Get Enclosure Temperature;gets;Enclosure Temperature;Gets;Enclosure Temperature;
User;Get Tracking Remaining Time;gets;Tracking Remaining Time;Gets;Tracking Remaining Time;
User;Stop Chopping;stops;Chopping;Stops;Chopping;
Power Module;Monitor Power Status;monitors;Power Status;Monitors;Power Status;
User;Stop Image Alignment;stops;Image Alignment;Stops;Image Alignment;
User;Do one star analysis;does;star analysis;;star analysis;
