Subject;Activity;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;;Open Enclosure;
Liquid Cooling Module;Monitor LCM Status;Monitors;Status;LCM
TRS;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;
User;Get M10 Tilt Angles;Gets;Angles;M10 Tilt
Translation Stage Drive;Preset FSS Translation Stage;;Preset FSS Translation Stage;
M2 Mirror;Set M2 Tilt Angles;Sets;M2 Tilt Angles;
FAS TCCD;Send FAS Setup;Sends;Setup;FAS
User;Prepare for VLTI Focus Adjustment;Prepares for;VLTI Focus Adjustment;
TRS;Monitor Temperature data;Monitors;Temperature data;
Catalogs;Preset Telescope to Catalogue Object;;Preset Telescope to Catalogue Object;
User;Stop Pupil Alignment;Stops;Pupil Alignment;
User;Offset Guide Probe on Beacon;;Offset Guide Probe on Beacon;
M2 Mirror;Set M2 Focus Position;Sets;M2 Focus Position;
M6 Mirror;Get M6 Tilt Angles;Gets;Tilt Angles;M6
M6 Mirror;Calibrate Az axis;Calibrates;axis;Az
User;Set Remaining Tracking Time Limit;Sets Remaining;Tracking Time Limit;
FSS STRAP;Do one star analysis;Dos;star analysis;
TRS;Monitor LCM Status;Monitors;Status;LCM
Air Conditioning;Get Enclosure Temperature;Gets;Enclosure Temperature;
User;Get Tracking Remaining Time;Gets|Remainings;Tracking|Time;
User;Stop Chopping;Stops;Chopping;
Power Module;Monitor Power Status;Monitors;Power Status;
User;Stop Image Alignment;Stops;Image Alignment;
User;Do one star analysis;Dos;star analysis;
User;Stop FAS Acquisition;Stops;FAS Acquisition;
User;Check STRAP Pupil Alignment;Checks;STRAP Pupil Alignment;
User;Set M2 Pupil Beacon Light Level;Sets;Pupil Beacon Light Level;M2
Air Conditioning;Set Reference Temperature;Sets;Reference Temperature;
User;Calibrate M6 versus Coude Sensors;Calibrates;M 6 versus Coude Sensors;
TRS;Monitor HPS Status;Monitors;HPS Status;
User;Get M2 Focus Position;Gets;M2 Focus Position;
User;Set Nasmyth Beacon Light Level;Sets;Level;Nasmyth Beacon Light
Nasmyth Wheel;Set Nasmyth Beacon Light Level;Sets;Level;Nasmyth Beacon Light
User;Stop Telescope Motion;Stops;Telescope Motion;
User;Start cyclic calibrated corrections;Starts|calibrates;corrections;
DewPoint Sensor;Set Dew Point Margin;Sets;Dew Point Margin;
TRS;Monitor Cooling Flow;Monitors;Cooling Flow;
Probe;Preset FSS Translation Stage;;Preset FSS Translation Stage;
User;Display Guide Detector Signals;;Display Guide Detector Signals;
User;Get M2 Tilt Angles;Gets;M2 Tilt Angles;
ASM;Close Enclosure On Bad Meteo Conditions;;Close Enclosure On Bad Meteo Conditions;
Air Conditioning;Check Status Air Conditioning;Checks;Status Air Conditioning;
TRS;Monitor Power Status;Monitors;Power Status;
User;Get Guide Star Data;Gets;Guide Star Data;
Nasmyth Wheel;Set Nasmyth Wheel;Sets;;Nasmyth Wheel
M2 Mirror;Get M2 Center Position;Gets;M2 Center Position;
User;Set Guide Parameters;Sets;Guide Parameters;
User;Prepare for Delay Constant Alignment;Prepares for;Delay Constant Alignment;
TRS;Monitor Telescope Temperature;Monitors;Telescope Temperature;
User;Set Guide Window Size;Sets;Guide Window Size;
User;Center M10;;;Center M10
Coude Beam Switching Device;Set Coude Beam Switching Device;Sets;Beam Switching Device;Coude
Telescope Temperature Sensors;Monitor Temperature data;Monitors;Temperature data;
User;Stop Air Conditioning;Stops;Air Conditioning;
User;Get M6 Tilt Angles;Gets;Tilt Angles;M6
User;Start Chopping;Starts;Chopping;
User;Check Status Enclosure;Checks;Status Enclosure;
FSS STRAP;Optimize Field Stabilisation;Optimizes;Field Stabilisation;
Azimuth Drive;Calibrate Az axis;Calibrates;axis;Az
DewPoint Sensor;Monitor Environmental data;Monitors;Environmental data;
Air Conditioning;Monitor Telescope Temperature;Monitors;Telescope Temperature;
User;Power On FAS;;Power On FAS;
FAS TCCD;Calibrate Az axis;Calibrates;axis;Az
M2 Mirror;Get M2 Focus Position;Gets;M2 Focus Position;
User;Adjust Pointing Axis Reference Points;Adjusts Pointing;Axis Reference Points;
User;Set M6 Tilt Angles;Sets;M6 Tilt Angles;
User;Make Pointing Error Measurement;Makes Pointing;Error Measurement;
TRS;Power On/Off M6;;Power|M6;
Tracking Axis Drive;Preset Telescope;;Preset Telescope;
FSS Field Diaphragm;Set FSS Field Diaphragm;Sets;Field Diaphragm;FSS
TRS;Stop Autoguiding;Stops;;Autoguiding
User;Probe to Next Guide Star;;Probe to Next Guide Star;
FAS TCCD;Power On FAS;;Power On FAS;
User;Set M2 Tilt Angles;Sets;M2 Tilt Angles;
User;Offset Guide Probe on star;;Offset Guide Probe on star;
User;Get M2 Center Position;Gets;M2 Center Position;
M6 Mirror;Center M6;;;Center M6
User;Cyclic closed loop active optics corrections;closes;loop active optics corrections;
Enclosure;Close Enclosure;;Close Enclosure;
M10 Mirror;Center M10;;;Center M10
M6 Mirror;Monitor M6 Status;Monitors;M6 Status;
Tracking Axis Drive;Preset Telescope to Named Position;Nameds;Preset Telescope|Position;
TRS;Monitor M6 Status;Monitors;M6 Status;
User;Prepare for Pupil Alignment;Prepares for;Pupil Alignment;
TRS;Monitor Cabinet Cooling;Monitors;Cabinet Cooling;
User;Measure and Install POM;Installs;Measure|POM;
TRS;Get Tracking Remaining Time;Gets|Remainings;Tracking|Time;
FSS Filter Wheel;Set FSS Filter Wheel;Sets;;FSS Filter Wheel
User;Adjust Coude Focus;Adjusts;Focus;Coude
Altitude Cabinet;Monitor Cabinet Cooling;Monitors;Cabinet Cooling;
User;Combined Offset;Combineds;Offset;
Transporter;Check Status Anchors;Checks;Status Anchors;
User;Set M10 Tilt Angles;Sets;Tilt Angles;M10
User;Read Telescope Temperature Sensors;Reads;Telescope Temperature Sensors;
User;Set M2 Focus Position;Sets;M2 Focus Position;
User;Stop Field Stabilization;Stops;Field Stabilization;
User;Calibrate Az axis;Calibrates;axis;Az
FSS Filter Wheel;Get FSS Filter Wheel;Gets;;FSS Filter Wheel
M2 Mirror;Do one M2 position setting;Dos;M 2 position setting;
User;Stop Autoguiding;Stops;;Autoguiding
Tracking Axis Drive;Stop Telescope Motion;Stops;Telescope Motion;
Catalogs;Probe to Next Guide Star;;Probe to Next Guide Star;
User;Stop VLTI Focus Adjustment;Stops;VLTI Focus Adjustment;
User;Install POM;Installs;;POM
User;Set Reference Temperature;Sets;Reference Temperature;
M10 Mirror;Set M10 Tilt Angles;Sets;Tilt Angles;M10
User;Modify POM term;Modifies;POM term;
ASM;Monitor Environmental data;Monitors;Environmental data;
User;Get Enclosure Temperature;Gets;Enclosure Temperature;
User;Set Tracking Wavelength;Sets;Tracking Wavelength;
TRS;Control FS Corrections;;Control FS Corrections;
TRS;Stop Chopping;Stops;Chopping;
User;Switch On/Off Nasmyth Beacon Light Source;Switches On;Beacon Light Source;Nasmyth
TRS;Monitor Environmental data;Monitors;Environmental data;
FSS STRAP;Set FSS Filter Wheel;Sets;;FSS Filter Wheel
Tracking Axis Drive;Offset Alt/Az;Offsets;;Alt|Az
FSS STRAP;Stop FSS Acquisition;Stops;FSS Acquisition;
Nasmyth Beacon Light Sources;Set Nasmyth Beacon Light Level;Sets;Level;Nasmyth Beacon Light
User;Set FSS Field Diaphragm;Sets;Field Diaphragm;FSS
User;Preset Telescope to Astronomical Coordinates;;Preset Telescope to Astronomical Coordinates;
User;Prepare FAS Setup;Prepares;Setup;FAS
User;Control FS Corrections;;Control FS Corrections;
User;Preset Telescope in Alt/Az Coordinates;;Preset Telescope in Alt|Coordinates;Az
FSS STRAP;Send FSS Setup;Sends;FSS Setup;
User;Do one calibrated correction;Dos|calibrates;correction;
User;Close Enclosure;;Close Enclosure;
User;Offset Alt/Az;Offsets;;Alt|Az
M6 Mirror;Set M6 Tilt Angles;Sets;M6 Tilt Angles;
User;Check Status Air Conditioning;Checks;Status Air Conditioning;
FSS STRAP;Start FSS Acquisition;Starts;Acquisition;FSS
M6 Mirror;Monitor Power Status;Monitors;Power Status;
Tracking Axis Drive;Preset Telescope in Alt/Az Coordinates;;Preset Telescope in Alt|Coordinates;Az
TRS;Start Autoguiding;Starts;Autoguiding;
ASM;Periodic Set Reference Temperature;;Periodic Set Reference Temperature;
TRS;Start Field Stabilization;Starts;Field Stabilization;
M10 Mirror;Get M10 Tilt Angles;Gets;Angles;M10 Tilt
User;Save Guide Detector Image;Saves;Guide Detector Image;
Air Conditioning;Monitor Temperature data;Monitors;Temperature data;
