Entry;Entities;EntityType
Storyboard;;
Building;;
review;;
end;;
Charles;Charles;PERSON
Miranda;Miranda;PERSON
Customer;;
Accounting;;
Sales;;
Warehouse;;
Supplier;;
Purchasing;;
Supervisor;;
CSR;;
Mortgage Specialist;;
Claim Adjuster;;
Customer Service;;
Technician;;
Store Owner;;
lecturer;;
team;;
student;;
Checked department;;
Auditor;;
examiner;;
Insurance company;;
insurer;;
Finance;;
Engineering;;
Reporter;;
Analyst;;
reporter;;
agent;;
analyst;;
sales;;
Volley Club;Volley Club;ORGANIZATION
candidate;;
Web Designer;;
Charles;Charles;PERSON
Backup;;
Customer Service Representative;;
commitee members;commitee;ORGANIZATION
support officer;;
coordination unit;;
Sales and Marketing;;
Production;;
Logistics and Distribution;;
Legal department;;
Validation Department;Validation Department;ORGANIZATION
The Registry;;
Payment Department;Payment Department;ORGANIZATION
Account Receivable Department;Account Receivable Department;ORGANIZATION
SSP Clients;;
Admin Department;Admin Department;ORGANIZATION
Mail Centre;;
Vendor Master Record Data Entry Department;;
Data Entry Department;Data Entry Department;ORGANIZATION
Vendor;;
Logistics;;
Italian Restaurant;Italian;NORP
Part Provision Team;;
Army;Army;ORGANIZATION
Sales & Distribution;;
Cashier;;
Small claims tribunal;;
Party;;
Assessment Manager;;
Cadastre;;
DMR;DMR;ORGANIZATION
Seller;;
Auctioning Service;;
Travel Agency;Travel Agency;ORGANIZATION
Airline;;
Client;;
Risk Assessor;;
Loan Officer;;
Financial Officer;;
Insurance Sales Rep.;;
Listings;;
Judicary;;
Loan Provider;;
Insurance client;;
Mortgage department;;
Insurance department;;
Financial department;;
Broker;;
Office;;
Carrier;;
SSP (Mail Center);SSP (Mail Center;ORGANIZATION
Admin Office;Admin Office;ORGANIZATION
Mail Center;;
Data Entry Office;Data Entry Office;ORGANIZATION
Master Data Enter Department;;
Validation Office;Validation Office;ORGANIZATION
Registry;;
Credit Company;;
Order to Cash;;
Make to Inventory;;
Teacher;;
Team;;
Student;;
Bank Agent;;
Bank System;;
Business Analyst;;
PHP/HTML/CSS Specialist;PHP;ORGANIZATION
Tester;;
Marketing Manager;;
IT Staff Member;;
Company's Spokesperson;;
PRWeb Representative;PRWeb;ORGANIZATION
PRWeb Services Headquarters;PRWeb Services Headquarters;ORGANIZATION
Graphic Designer;;
Printing house;;
Company Representative;;
Camera man;;
Graphic designer;;
Sound editor;;
Executive producer/Director;;
Advertisments Advisor;;
Pit's Store;Pit's Store;ORGANIZATION
Fami;Fami;ORGANIZATION
Marketing;;
Management;;
IT Department;;
Operator;;
HR;;
Support line - part time workers;;
Data entry officer;;
Master data entry department;;
Mail center;;
Accounts Receivable Department;;
Payment office;;
Admin Officer;;
Vaidation officer;Vaidation;PRODUCT
Parts Provision Team;;
Service Team;;
Administrative;;
IT analyst;;
IT specialist;;
Inspection team member;;
Lead inspector;;
Dispatch;;
warehouse;;
Sender;;
Receiver;;
Bank;;
Bank Package Processing;Bank Package Processing;ORGANIZATION
Engineers;;
Lawyer;;
Plaintiff;;
Defendant;;
Law Firm;;
Patient;;
Doctor;;
Nurse;;
Event Administrator;;
Business Development Manager;Business Development;ORGANIZATION
Brian's Team;Brian;PERSON
Project Manager;;
Department;;
Department head;;
ACME Inc.;ACME Inc.;ORGANIZATION
Umoja Change Management;Umoja Change Management;ORGANIZATION
Umoja Workstream Member;Umoja Workstream;ORGANIZATION
2nd level issue;2nd;ORDINAL
1st level issue;1st;DATE
Key Account Manager;;
1st Level support agent;1st Level;ORGANIZATION
2nd level support agent;2nd;ORDINAL
Software Developer;;
Trouble Tracking System;;
DMS;DMS;ORGANIZATION
Employer;;
Finance/Accounting;Finance/Accounting;ORGANIZATION
Sales Department;;
Logistic department;;
ABC Bank;ABC Bank;ORGANIZATION
Storehouse;Storehouse;ORGANIZATION
Sales dep.;;
Catering;;
Order;;
Delivery;;
Travel agency;;
Agency;;
Bank A;;
Bank B;;
External credit rating company;;
Traveller;;
Distribution;;
Tour Company;;
design and implement a webpage;;
Applicant;;
Costumer Service Representative;;
Administration;;
Support Officer;;
Coordination Unit;;
Committee Members;;
Order Management;;
Stock;;
Logistic;;
Controlling;;
Dunning Process;;
SWIM User;;
PEP;;
Security Services;;
Sales Manager;;
Customer Service Rep;;
FeelWheel;FeelWheel;ORGANIZATION
Hotel;;
Costumer Services;;
Sales & Logistics;Sales & Logistics;ORGANIZATION
Accountig Office;Accountig Office;ORGANIZATION
Manufactoring;;
