Subject;Activity;VerbPhrases;NounPhrases;ProperNouns
User;Open Enclosure;;Open Enclosure;
Liquid Cooling Module;Monitor LCM Status;Monitors;;LCM Status
TRS;Periodic Set Reference Temperature;;;Set Reference Temperature
User;Get M10 Tilt Angles;;Angles;M10 Tilt
Translation Stage Drive;Preset FSS Translation Stage;;Preset FSS Translation Stage;
M2 Mirror;Set M2 Tilt Angles;;Angles;Set M2 Tilt
FAS TCCD;Send FAS Setup;Sends;Setup;FAS
User;Prepare for VLTI Focus Adjustment;Prepares for;;VLTI Focus Adjustment
TRS;Monitor Temperature data;Monitors;data;Temperature
Catalogs;Preset Telescope to Catalogue Object;;;Preset Telescope|Catalogue Object
User;Stop Pupil Alignment;Stops;;Pupil Alignment
User;Offset Guide Probe on Beacon;;;Offset Guide Probe|Beacon
M2 Mirror;Set M2 Focus Position;;;Set M2 Focus Position
M6 Mirror;Get M6 Tilt Angles;;Tilt Angles;M6
M6 Mirror;Calibrate Az axis;;;Calibrate Az
User;Set Remaining Tracking Time Limit;Sets Remaining;Tracking Time Limit;
FSS STRAP;Do one star analysis;;star analysis;
TRS;Monitor LCM Status;Monitors;;LCM Status
Air Conditioning;Get Enclosure Temperature;;Enclosure Temperature;
User;Get Tracking Remaining Time;Trackings Remaining;Time;
User;Stop Chopping;Stops Chopping;;
Power Module;Monitor Power Status;Monitors;;Power Status
User;Stop Image Alignment;Stops;Image Alignment;
User;Do one star analysis;;star analysis;
User;Stop FAS Acquisition;Stops;Acquisition;FAS
User;Check STRAP Pupil Alignment;Checks;Pupil Alignment;STRAP
User;Set M2 Pupil Beacon Light Level;;Level;Set M2 Pupil Beacon Light
Air Conditioning;Set Reference Temperature;;Reference Temperature;Set
User;Calibrate M6 versus Coude Sensors;Calibrates;M6 versus Coude Sensors;
TRS;Monitor HPS Status;;Monitor HPS Status;
User;Get M2 Focus Position;;;M2 Focus Position
User;Set Nasmyth Beacon Light Level;;Light Level;Set Nasmyth Beacon
Nasmyth Wheel;Set Nasmyth Beacon Light Level;;Light Level;Set Nasmyth Beacon
User;Stop Telescope Motion;Stops;Motion;Telescope
User;Start cyclic calibrated corrections;Starts|calibrates;corrections;cyclic
DewPoint Sensor;Set Dew Point Margin;;;Set Dew Point Margin
TRS;Monitor Cooling Flow;Monitors Cooling;Flow;
Probe;Preset FSS Translation Stage;;Preset FSS Translation Stage;
User;Display Guide Detector Signals;;;Display Guide Detector Signals
User;Get M2 Tilt Angles;;Angles;M2 Tilt
ASM;Close Enclosure On Bad Meteo Conditions;;Close Enclosure On Bad Meteo Conditions;
Air Conditioning;Check Status Air Conditioning;Checks;Air Conditioning;Status
TRS;Monitor Power Status;Monitors;;Power Status
User;Get Guide Star Data;Guides;;Star Data
Nasmyth Wheel;Set Nasmyth Wheel;Sets;;Nasmyth Wheel
M2 Mirror;Get M2 Center Position;;;M2 Center Position
User;Set Guide Parameters;;Parameters;Set Guide
User;Prepare for Delay Constant Alignment;Prepares for;;Delay Constant Alignment
TRS;Monitor Telescope Temperature;;Temperature;Monitor Telescope
User;Set Guide Window Size;;Size;Set Guide Window
User;Center M10;;;Center M10
Coude Beam Switching Device;Set Coude Beam Switching Device;Switchings;Device;Set Coude Beam
Telescope Temperature Sensors;Monitor Temperature data;Monitors;data;Temperature
User;Stop Air Conditioning;Stops;Air Conditioning;
User;Get M6 Tilt Angles;;Tilt Angles;M6
User;Start Chopping;Starts Chopping;;
User;Check Status Enclosure;Checks;Status Enclosure;
FSS STRAP;Optimize Field Stabilisation;;Field Stabilisation;Optimize
Azimuth Drive;Calibrate Az axis;;;Calibrate Az
DewPoint Sensor;Monitor Environmental data;Monitors;Environmental data;
Air Conditioning;Monitor Telescope Temperature;;Temperature;Monitor Telescope
User;Power On FAS;;Power On FAS;
FAS TCCD;Calibrate Az axis;;;Calibrate Az
M2 Mirror;Get M2 Focus Position;;;M2 Focus Position
User;Adjust Pointing Axis Reference Points;Adjusts Pointing;Reference Points;Axis
User;Set M6 Tilt Angles;Sets;Tilt Angles;M6
User;Make Pointing Error Measurement;Makes;Error Measurement;Pointing
TRS;Power On/Off M6;;Power|Off M6;
Tracking Axis Drive;Preset Telescope;;;Preset Telescope
FSS Field Diaphragm;Set FSS Field Diaphragm;;;Set FSS Field Diaphragm
TRS;Stop Autoguiding;Stops Autoguiding;;
User;Probe to Next Guide Star;Probes to;;Next Guide Star
FAS TCCD;Power On FAS;;Power On FAS;
User;Set M2 Tilt Angles;;Angles;Set M2 Tilt
User;Offset Guide Probe on star;;star;Offset Guide Probe
User;Get M2 Center Position;;;M2 Center Position
M6 Mirror;Center M6;;M6;Center
User;Cyclic closed loop active optics corrections;closes;loop active optics corrections;Cyclic
Enclosure;Close Enclosure;;Close Enclosure;
M10 Mirror;Center M10;;;Center M10
M6 Mirror;Monitor M6 Status;Monitors;M6 Status;
Tracking Axis Drive;Preset Telescope to Named Position;Nameds;Position;Preset Telescope
TRS;Monitor M6 Status;Monitors;M6 Status;
User;Prepare for Pupil Alignment;Prepares for;;Pupil Alignment
TRS;Monitor Cabinet Cooling;;;Monitor Cabinet Cooling
User;Measure and Install POM;Installs;Measure|POM;
TRS;Get Tracking Remaining Time;Trackings Remaining;Time;
FSS Filter Wheel;Set FSS Filter Wheel;;Set FSS Filter Wheel;
User;Adjust Coude Focus;Adjusts;Coude Focus;
Altitude Cabinet;Monitor Cabinet Cooling;;;Monitor Cabinet Cooling
User;Combined Offset;;;Combined Offset
Transporter;Check Status Anchors;Checks;Anchors;Status
User;Set M10 Tilt Angles;;Angles;Set M10 Tilt
User;Read Telescope Temperature Sensors;;Temperature Sensors;Read Telescope
User;Set M2 Focus Position;;;Set M2 Focus Position
User;Stop Field Stabilization;Stops;Field Stabilization;
User;Calibrate Az axis;;;Calibrate Az
FSS Filter Wheel;Get FSS Filter Wheel;;Filter Wheel;FSS
M2 Mirror;Do one M2 position setting;;M2 position setting;
User;Stop Autoguiding;Stops Autoguiding;;
Tracking Axis Drive;Stop Telescope Motion;Stops;Motion;Telescope
Catalogs;Probe to Next Guide Star;Probes to;;Next Guide Star
User;Stop VLTI Focus Adjustment;Stops;;VLTI Focus Adjustment
