Entry;Entities;EntityType
Storyboard;;
Building;;
review;;
end;;
Charles;Charles;PERSON
Miranda;Miranda;PERSON
Customer;;
Accounting;;
Sales;;
Warehouse;;
Supplier;;
Purchasing;;
Supervisor;;
CSR;CSR;ORGANIZATION
Mortgage Specialist;;
Claim Adjuster;;
Customer Service;;
Technician;;
Store Owner;;
lecturer;;
team;;
student;;
Checked department;;
Auditor;;
examiner;;
Insurance company;;
insurer;;
Finance;;
Engineering;;
Reporter;;
Analyst;;
reporter;;
agent;;
analyst;;
sales;;
Volley Club;Volley Club;ORGANIZATION
candidate;;
Web Designer;;
Charles;Charles;PERSON
Backup;;
Customer Service Representative;;
commitee members;;
support officer;;
coordination unit;;
Sales and Marketing;;
Production;;
Logistics and Distribution;;
Legal department;;
Validation Department;Validation Department;ORGANIZATION
The Registry;;
Payment Department;Payment Department;ORGANIZATION
Account Receivable Department;;
SSP Clients;;
Admin Department;Admin Department;ORGANIZATION
Mail Centre;Mail Centre;ORGANIZATION
Vendor Master Record Data Entry Department;;
Data Entry Department;Data Entry Department;ORGANIZATION
Vendor;;
Logistics;;
Italian Restaurant;Italian Restaurant;ORGANIZATION
Part Provision Team;;
Army;Army;ORGANIZATION
Sales & Distribution;;
Cashier;;
Small claims tribunal;;
Party;;
Assessment Manager;;
Cadastre;Cadastre;PERSON
DMR;;
Seller;;
Auctioning Service;;
Travel Agency;Travel Agency;ORGANIZATION
Airline;;
Client;;
Risk Assessor;;
Loan Officer;;
Financial Officer;;
Insurance Sales Rep.;;
Listings;;
Judicary;Judicary;PERSON
Loan Provider;;
Insurance client;;
Mortgage department;;
Insurance department;;
Financial department;;
Broker;;
Office;;
Carrier;;
SSP (Mail Center);SSP (Mail Center;ORGANIZATION
Admin Office;;
Mail Center;Mail Center;ORGANIZATION
Data Entry Office;Data Entry Office;ORGANIZATION
Master Data Enter Department;;
Validation Office;Validation Office;ORGANIZATION
Registry;;
Credit Company;Credit Company;ORGANIZATION
Order to Cash;;
Make to Inventory;;
Teacher;;
Team;;
Student;;
Bank Agent;;
Bank System;Bank System;ORGANIZATION
Business Analyst;;
PHP/HTML/CSS Specialist;PHP;ORGANIZATION
Tester;;
Marketing Manager;;
IT Staff Member;;
Company's Spokesperson;Company's;ORGANIZATION
PRWeb Representative;;
PRWeb Services Headquarters;PRWeb Services Headquarters;ORGANIZATION
Graphic Designer;;
Printing house;;
Company Representative;;
Camera man;;
Graphic designer;;
Sound editor;;
Executive producer/Director;;
Advertisments Advisor;;
Pit's Store;;
Fami;Fami;PERSON
Marketing;;
Management;;
IT Department;IT Department;ORGANIZATION
Operator;;
HR;;
Support line - part time workers;;
Data entry officer;;
Master data entry department;;
Mail center;;
Accounts Receivable Department;;
Payment office;;
Admin Officer;;
Vaidation officer;;
Parts Provision Team;;
Service Team;;
Administrative;;
IT analyst;;
IT specialist;;
Inspection team member;;
Lead inspector;;
Dispatch;;
warehouse;;
Sender;;
Receiver;;
Bank;;
Bank Package Processing;;
Engineers;;
Lawyer;;
Plaintiff;;
Defendant;;
Law Firm;;
Patient;;
Doctor;;
Nurse;;
Event Administrator;;
Business Development Manager;;
Brian's Team;Brian;PERSON
Project Manager;;
Department;;
Department head;;
ACME Inc.;ACME Inc.;ORGANIZATION
Umoja Change Management;Umoja Change Management;ORGANIZATION
Umoja Workstream Member;Umoja Workstream;PERSON
2nd level issue;2nd;ORDINAL
1st level issue;1st;ORDINAL
Key Account Manager;;
1st Level support agent;;
2nd level support agent;2nd;ORDINAL
Software Developer;;
Trouble Tracking System;;
DMS;;
Employer;;
Finance/Accounting;;
Sales Department;Sales Department;ORGANIZATION
Logistic department;;
ABC Bank;ABC;ORGANIZATION
Storehouse;;
Sales dep.;;
Catering;;
Order;;
Delivery;;
Travel agency;;
Agency;;
Bank A;;
Bank B;;
External credit rating company;;
Traveller;;
Distribution;;
Tour Company;Tour Company;ORGANIZATION
design and implement a webpage;;
Applicant;;
Costumer Service Representative;Costumer Service;ORGANIZATION
Administration;;
Support Officer;;
Coordination Unit;;
Committee Members;;
Order Management;;
Stock;;
Logistic;;
Controlling;;
Dunning Process;Dunning Process;PERSON
SWIM User;;
PEP;;
Security Services;Security Services;ORGANIZATION
Sales Manager;;
Customer Service Rep;;
FeelWheel;;
Hotel;;
Costumer Services;Costumer Services;ORGANIZATION
Sales & Logistics;Sales & Logistics;ORGANIZATION
Accountig Office;Accountig Office;ORGANIZATION
Manufactoring;;
